variant,bps_n,wr_%,total,avg,worst,all_total,all_ann
V0_baseline,38,76.3,73327,1929,-9379,505216,26104
V4a_tight_5dMA,19,84.2,53365,2808,-9379,466731,24115
V4b_tight_10dMA,10,90.0,45017,4501,-3573,463395,23943
V5a_relax_10dMA1pct,47,72.3,54271,1154,-15713,482869,24949
V5b_relax_5dMA,45,73.3,59924,1331,-15713,488521,25241
V5c_relax_10dMA,43,76.7,84738,1970,-9379,515915,26656
