variant,bps_n,wr_%,total,avg,worst,all_total
V0_baseline,38,76.3,73327,1929,-9379,505216
P6A_narrow_MA10,44,75.0,76050,1728,-15713,503367
P6B_narrow_MA5,47,70.2,56760,1207,-15119,486624
P6C_narrow_MA5or10,48,70.8,62391,1299,-15119,490021
