report_date,noncomm_long,noncomm_short,open_interest,net_spec
2013-02-19,389674,377283,3147268,12391
2013-02-26,439892,387287,3236746,52605
2013-03-05,516432,371277,3275893,145155
2013-03-12,536269,383987,3796609,152282
2013-03-19,556279,300753,2845013,255526
2013-03-26,544676,311206,2929558,233470
2013-04-02,570733,346831,3010683,223902
2013-04-09,539958,337425,3041311,202533
2013-04-16,563563,312590,3032875,250973
2013-04-23,524972,345202,3028179,179770
2013-04-30,593992,325554,3087728,268438
2013-05-07,584472,384112,3189841,200360
2013-05-14,558611,365663,3287763,192948
2013-05-21,514877,367607,3340104,147270
2013-05-28,548584,346124,3384621,202460
2013-06-04,527952,328240,3307852,199712
2013-06-11,456571,341749,3397407,114822
2013-06-18,481489,364545,3746507,116944
2013-06-25,417399,359495,2729204,57904
2013-07-02,412800,353387,2707222,59413
2013-07-09,393249,362146,2723676,31103
2013-07-16,434712,308665,2784081,126047
2013-07-23,448822,308605,2813229,140217
2013-07-30,474058,295109,2840740,178949
2013-08-06,433534,336087,2844836,97447
2013-08-13,448724,345075,2876427,103649
2013-08-20,450053,355440,2929661,94613
2013-08-27,435715,399594,2996973,36121
2013-09-03,441299,428684,2986537,12615
2013-09-10,392332,430772,3044856,-38440
2013-09-17,442361,415255,3337625,27106
2013-09-24,422630,327137,2624099,95493
2013-10-01,447422,346082,2623895,101340
2013-10-08,434208,390714,2732549,43494
2013-10-15,432829,384533,2690273,48296
2013-10-22,440434,401420,2732821,39014
2013-10-29,475023,377742,2771653,97281
2013-11-05,490826,372775,2813333,118051
2013-11-12,495540,393698,2811253,101842
2013-11-19,458529,433858,2882916,24671
2013-11-26,474461,414792,2864468,59669
2013-12-03,486730,427286,2917291,59444
2013-12-10,460077,430464,2947491,29613
2013-12-17,462798,394388,3368625,68410
2013-12-24,492660,399794,2750132,92866
2013-12-31,518191,401779,2789364,116412
2014-01-07,528764,400871,2790363,127893
2014-01-14,529839,431693,2885511,98146
2014-01-21,469764,469111,2871444,653
2014-01-28,469031,482509,2912005,-13478
2014-02-04,497678,476031,2985967,21647
2014-02-11,420738,546440,3078305,-125702
2014-02-18,424690,506721,3163772,-82031
2014-02-25,440541,487310,3190988,-46769
2014-03-04,466729,454711,3301075,12018
2014-03-11,436503,503629,3368513,-67126
2014-03-18,486590,510985,3878357,-24395
2014-03-25,430228,429807,2801131,421
2014-04-01,451352,420522,2801019,30830
2014-04-08,394799,428872,2760817,-34073
2014-04-15,399794,442192,2808434,-42398
2014-04-22,411997,455540,2793289,-43543
2014-04-29,429861,466493,2852227,-36632
2014-05-06,419492,480867,2851024,-61375
2014-05-13,439691,477571,2952843,-37880
2014-05-20,395342,529241,2964178,-133899
2014-05-27,433259,497025,3042386,-63766
2014-06-03,443186,523298,3090854,-80112
2014-06-10,404418,525443,3215901,-121025
2014-06-17,445496,542576,3542606,-97080
2014-06-24,402430,480874,2864180,-78444
2014-07-01,449442,489710,2941198,-40268
2014-07-08,420596,503657,2931095,-83061
2014-07-15,444576,457724,2937915,-13148
2014-07-22,456037,449518,2959472,6519
2014-07-29,438338,473927,2972352,-35589
2014-08-05,462294,446222,2932157,16072
2014-08-12,430483,463312,2959433,-32829
2014-08-19,426474,459284,3004564,-32810
2014-08-26,413390,444418,3027601,-31028
2014-09-02,421326,475432,3081045,-54106
2014-09-09,428439,452220,3245197,-23781
2014-09-16,485356,475260,3658403,10096
2014-09-23,436289,460835,2799012,-24546
2014-09-30,455268,415295,2799895,39973
2014-10-07,479335,437703,2775750,41632
2014-10-14,508311,482377,2829396,25934
2014-10-21,438780,501836,2829815,-63056
2014-10-28,456177,495447,2882162,-39270
2014-11-04,475468,522345,2879808,-46877
2014-11-11,489678,495110,2920705,-5432
2014-11-18,514438,487022,3024708,27416
2014-11-25,507370,510799,3086154,-3429
2014-12-02,556057,513307,3111438,42750
2014-12-09,508091,476654,3105541,31437
2014-12-16,543993,435232,3295783,108761
2014-12-23,470825,373824,2739124,97001
2014-12-30,471831,339033,2750182,132798
2015-01-06,501056,330512,2749558,170544
2015-01-13,468642,352794,2714557,115848
2015-01-20,452916,374259,2707586,78657
2015-01-27,463276,385948,2701901,77328
2015-02-03,480703,393476,2734995,87227
2015-02-10,483142,385623,2791625,97519
2015-02-17,467641,374612,2811472,93029
2015-02-24,444251,420053,2886254,24198
2015-03-03,466198,470363,2982284,-4165
2015-03-10,463992,516901,3181958,-52909
2015-03-17,410312,504225,3423320,-93913
2015-03-24,366729,410751,2631895,-44022
2015-03-31,390795,425830,2663980,-35035
2015-04-07,375182,423587,2671481,-48405
2015-04-14,374457,425016,2691356,-50559
2015-04-21,370350,418558,2716999,-48208
2015-04-28,382688,417277,2745013,-34589
2015-05-05,353205,432502,2745079,-79297
2015-05-12,351885,424656,2756816,-72771
2015-05-19,362382,393400,2770193,-31018
2015-05-26,348965,418185,2782314,-69220
2015-06-02,362278,387109,2849220,-24831
2015-06-09,351579,444381,2971541,-92802
2015-06-16,359995,444039,3213131,-84044
2015-06-23,331254,423439,2575407,-92185
2015-06-30,357634,491751,2641281,-134117
2015-07-07,328557,509021,2686827,-180464
2015-07-14,327058,462172,2630905,-135114
2015-07-21,356805,447312,2651956,-90507
2015-07-28,364155,457303,2705198,-93148
2015-08-04,360640,477289,2711872,-116649
2015-08-11,346560,508975,2779583,-162415
2015-08-18,352165,498752,2843824,-146587
2015-08-25,438027,513771,3147605,-75744
2015-09-01,398051,578557,3220963,-180506
2015-09-08,376080,603006,3282448,-226926
2015-09-15,346836,605736,3538131,-258900
2015-09-22,325575,565618,2885655,-240043
2015-09-29,333127,560702,2916818,-227575
2015-10-06,297560,575739,2931539,-278179
2015-10-13,300998,545412,2935847,-244414
2015-10-20,320754,580230,2978653,-259476
2015-10-27,345929,511968,2845888,-166039
2015-11-03,333999,491592,2860279,-157593
2015-11-10,336414,464188,2926441,-127774
2015-11-17,312786,438568,2875410,-125782
2015-11-24,317780,415835,2876955,-98055
2015-12-01,316333,412712,2906354,-96379
2015-12-08,321242,402087,2933232,-80845
2015-12-15,339645,414993,3144839,-75348
2015-12-22,307567,402786,2550333,-95219
2015-12-29,298004,395166,2506414,-97162
2016-01-05,312164,416335,2573728,-104171
2016-01-12,316285,478557,2745684,-162272
2016-01-19,340376,528912,2863447,-188536
2016-01-26,380557,512428,2899270,-131871
2016-02-02,355721,581626,2989501,-225905
2016-02-09,334857,569178,3067305,-234321
2016-02-16,376334,535139,3102033,-158805
2016-02-23,372637,580759,3092895,-208122
2016-03-01,379010,570432,3149871,-191422
2016-03-08,349357,555012,3271582,-205655
2016-03-15,364788,570733,3396546,-205945
2016-03-22,356773,503202,2820719,-146429
2016-03-29,374694,496791,2849125,-122097
2016-04-05,389193,493403,2867791,-104210
2016-04-12,380512,469973,2857883,-89461
2016-04-19,389847,455785,2874380,-65938
2016-04-26,428009,426549,2868896,1460
2016-05-03,428832,418745,2811993,10087
2016-05-10,446765,427089,2865334,19676
2016-05-17,426661,435514,2850259,-8853
2016-05-24,529733,446311,2973946,83422
2016-05-31,528450,484026,2989845,44424
2016-06-07,486425,518190,3123389,-31765
2016-06-14,589717,471522,3341912,118195
2016-06-21,509973,455153,2781212,54820
2016-06-28,506355,444424,2950885,61931
2016-07-05,524300,484429,3003946,39871
2016-07-12,555734,485063,2969096,70671
2016-07-19,616984,470752,2966710,146232
2016-07-26,626042,463960,2963940,162082
2016-08-02,600484,489234,2943229,111250
2016-08-09,579965,479270,2920958,100695
2016-08-16,611000,456989,2942915,154011
2016-08-23,666470,474100,3004043,192370
2016-08-30,676562,476507,3052142,200055
2016-09-06,668701,485068,3151038,183633
2016-09-13,623044,529502,3514714,93542
2016-09-20,536166,440713,2898741,95453
2016-09-27,530452,470323,2887362,60129
2016-10-04,533493,488358,2925178,45135
2016-10-11,501312,535145,2944782,-33833
2016-10-18,512423,489391,2946199,23032
2016-10-25,499073,520543,3000750,-21470
2016-11-01,490171,510898,2986724,-20727
2016-11-08,484483,487830,2930959,-3347
2016-11-15,461133,475057,2913769,-13924
2016-11-22,463719,534167,3036641,-70448
2016-11-29,459497,598768,3081271,-139271
2016-12-06,422175,555467,3051926,-133292
2016-12-13,452172,570881,3389480,-118709
2016-12-20,399972,434877,2757555,-34905
2016-12-27,425301,415593,2754179,9708
2017-01-03,473023,391607,2812086,81416
2017-01-10,451412,430027,2831782,21385
2017-01-17,450996,415665,2810749,35331
2017-01-24,480582,407679,2869436,72903
2017-01-31,486150,415317,2839486,70833
2017-02-07,476543,422233,2890204,54310
2017-02-14,486939,429166,3018235,57773
2017-02-21,508312,477537,3056454,30775
2017-02-28,578611,491977,3117551,86634
2017-03-07,615518,477881,3231427,137637
2017-03-14,649218,487353,3542383,161865
2017-03-21,523742,434594,2867968,89148
2017-03-28,578858,418086,2884815,160772
2017-04-04,538141,417431,2853269,120710
2017-04-11,559605,438624,2886007,120981
2017-04-18,575585,441341,2916029,134244
2017-04-25,586371,464249,2955256,122122
2017-05-02,538745,447246,2958197,91499
2017-05-09,554342,469291,3038006,85051
2017-05-16,532258,500138,3065532,32120
2017-05-23,542726,502332,3069954,40394
2017-05-30,554764,498671,3086131,56093
2017-06-06,573621,515151,3142563,58470
2017-06-13,579651,521891,3472466,57760
2017-06-20,466052,457467,2824898,8585
2017-06-27,486766,461780,2876159,24986
2017-07-03,482309,412742,2852197,69567
2017-07-11,494163,415561,2844657,78602
2017-07-18,525302,422891,2914099,102411
2017-07-25,533006,424797,2995537,108209
2017-08-01,532439,452902,3059594,79537
2017-08-08,539006,462034,3113437,76972
2017-08-15,573473,423273,3165620,150200
2017-08-22,585699,443601,3230474,142098
2017-08-29,620032,420301,3301271,199731
2017-09-05,564199,406282,3327423,157917
2017-09-12,604623,416578,3693118,188045
2017-09-19,571459,470115,3090538,101344
2017-09-26,584001,464283,3060234,119718
2017-10-03,562263,460750,3013291,101513
2017-10-10,572162,431653,3069650,140509
2017-10-17,572882,410962,3081534,161920
2017-10-24,568658,441538,3162041,127120
2017-10-31,581062,419728,3187695,161334
2017-11-07,608031,460894,3244403,147137
2017-11-14,614069,461443,3263629,152626
2017-11-21,596889,472642,3329620,124247
2017-11-28,614634,502151,3387929,112483
2017-12-05,636045,469166,3513444,166879
2017-12-12,548679,480968,3830224,67711
2017-12-19,519631,436471,2988232,83160
2017-12-26,540420,435723,3061310,104697
2018-01-02,529045,356444,3051095,172601
2018-01-09,518932,441519,3241341,77413
2018-01-16,556343,433893,3322427,122450
2018-01-23,626705,460250,3417469,166455
2018-01-30,620711,447867,3395965,172844
2018-02-06,755765,469551,3428810,286214
2018-02-13,623274,444274,3341713,179000
2018-02-20,567125,453794,3327297,113331
2018-02-27,563267,466928,3331246,96339
2018-03-06,559230,430356,3320841,128874
2018-03-13,582419,460313,3763469,122106
2018-03-20,464335,381042,2757489,83293
2018-03-27,567762,340959,2974542,226803
2018-04-03,564314,351711,3052445,212603
2018-04-10,549753,340137,3030240,209616
2018-04-17,530853,318544,3007691,212309
2018-04-24,569156,358192,3040799,210964
2018-05-01,583991,354758,2994612,229233
2018-05-08,534514,372159,2989404,162355
2018-05-15,532588,333783,3055622,198805
2018-05-22,520075,334831,3128400,185244
2018-05-29,501049,376970,3209503,124079
2018-06-05,514421,352285,3242617,162136
2018-06-12,531316,361886,3411142,169430
2018-06-19,526473,337254,2679161,189219
2018-06-26,568339,371153,2687018,197186
2018-07-03,529737,361756,2677808,167981
2018-07-10,530848,358871,2720946,171977
2018-07-17,542517,359545,2777242,182972
2018-07-24,529609,347748,2779106,181861
2018-07-31,518509,348207,2762632,170302
2018-08-07,525992,360753,2830470,165239
2018-08-14,522820,343119,2819606,179701
2018-08-21,506614,382432,2828985,124182
2018-08-28,535131,390662,2876521,144469
2018-09-04,537739,375507,2893316,162232
2018-09-11,520549,398329,2918387,122220
2018-09-18,537503,387541,3299237,149962
2018-09-25,505915,307999,2732088,197916
2018-10-02,525160,297125,2783452,228035
2018-10-09,556939,301120,2840595,255819
2018-10-16,523162,296370,2875182,226792
2018-10-23,530304,290932,2919850,239372
2018-10-30,552802,289794,2988190,263008
2018-11-06,468954,270932,2940426,198022
2018-11-13,485689,284277,2967052,201412
2018-11-20,511525,287255,3049639,224270
2018-11-27,486016,270659,3037661,215357
2018-12-04,416487,312411,3072144,104076
2018-12-11,438055,263876,3135184,174179
2018-12-18,480166,269900,3220465,210266
2018-12-24,458224,288006,2808490,170218
2018-12-31,419804,254293,2694884,165511
2019-01-08,392666,260833,2628458,131833
2019-01-15,378877,314675,2655210,64202
2019-01-22,364571,369152,2676983,-4581
2019-01-29,381264,404482,2694025,-23218
2019-02-05,340646,456824,2653040,-116178
2019-02-12,331115,450620,2645788,-119505
2019-02-19,322912,453746,2628240,-130834
2019-02-26,342289,428794,2699419,-86505
2019-03-05,328775,432162,2623571,-103387
2019-03-12,339702,406600,2879657,-66898
2019-03-19,329711,377745,2498540,-48034
2019-03-26,359913,335779,2504206,24134
2019-04-02,367417,356082,2527763,11335
2019-04-09,379478,382617,2558637,-3139
2019-04-16,402612,386639,2621649,15973
2019-04-23,408622,406193,2682940,2429
2019-04-30,415354,354057,2638914,61297
2019-05-07,415818,319682,2642843,96136
2019-05-14,422350,328461,2660327,93889
2019-05-21,423907,323152,2653510,100755
2019-05-28,424857,332502,2695841,92355
2019-06-04,441733,351816,2714128,89917
2019-06-11,423078,368157,2730040,54921
2019-06-18,431532,379591,3066008,51941
2019-06-25,399479,312950,2467541,86529
2019-07-02,371602,318483,2545506,53119
2019-07-09,354442,337205,2566398,17237
2019-07-16,369840,331393,2641285,38447
2019-07-23,365641,311276,2639816,54365
2019-07-30,366438,303905,2641389,62533
2019-08-06,386696,297787,2602448,88909
2019-08-13,333677,326290,2555212,7387
2019-08-20,349269,292679,2576472,56590
2019-08-27,369829,301315,2601022,68514
2019-09-03,342714,330382,2619124,12332
2019-09-10,342075,358437,2733454,-16362
2019-09-17,357145,368849,2967550,-11704
2019-09-24,332525,327051,2478195,5474
2019-10-01,321081,311687,2477294,9394
2019-10-08,351694,297575,2491160,54119
2019-10-15,362333,342470,2527826,19863
2019-10-22,368753,345469,2533853,23284
2019-10-29,392410,358867,2626285,33543
2019-11-05,380180,380297,2677630,-117
2019-11-12,388038,378027,2750302,10011
2019-11-19,392101,400505,2794058,-8404
2019-11-26,421948,438771,2887170,-16823
2019-12-03,384480,423475,2893602,-38995
2019-12-10,383377,402030,2963845,-18653
2019-12-17,396797,410322,3199738,-13525
2019-12-24,395868,368801,2716155,27067
2019-12-31,427066,366723,2720284,60343
2020-01-07,419123,378302,2709583,40821
2020-01-14,402361,369343,2703002,33018
2020-01-21,428833,424242,2772927,4591
2020-01-28,426210,409449,2741743,16761
2020-02-04,439867,393731,2697443,46136
2020-02-11,451855,417061,2779131,34794
2020-02-18,470753,440981,2839347,29772
2020-02-25,440884,385268,2843780,55616
2020-03-03,418869,413663,3065867,5206
2020-03-10,431984,433626,3438566,-1642
2020-03-17,470504,453547,4554164,16957
2020-03-24,390913,378225,3320161,12688
2020-03-31,428621,457441,3439568,-28820
2020-04-07,369416,509441,3447518,-140025
2020-04-14,368759,586540,3434258,-217781
2020-04-21,366146,558802,3389559,-192656
2020-04-28,347843,613451,3327759,-265608
2020-05-05,325128,547542,3245239,-222414
2020-05-12,305828,542093,3249482,-236265
2020-05-19,316699,569562,3213651,-252863
2020-05-26,326600,603308,3202921,-276708
2020-06-02,371808,597604,3215453,-225796
2020-06-09,374110,602239,3277813,-228129
2020-06-16,345594,648899,3493739,-303305
2020-06-23,333015,430093,2603271,-97078
2020-06-30,366138,415732,2647722,-49594
2020-07-07,363878,400052,2618026,-36174
2020-07-14,378655,407268,2625841,-28613
2020-07-21,374266,417256,2633214,-42990
2020-07-28,374943,414156,2647149,-39213
2020-08-04,393492,438254,2676398,-44762
2020-08-11,391788,457685,2694088,-65897
2020-08-18,414783,479629,2729290,-64846
2020-08-25,406903,493532,2746170,-86629
2020-09-01,443299,468915,2789621,-25616
2020-09-08,417041,398737,2706399,18304
2020-09-15,398629,377138,2908148,21491
2020-09-22,355632,295923,2472951,59709
2020-09-29,368159,295965,2473492,72194
2020-10-06,402626,328663,2476190,73963
2020-10-13,379772,339563,2471530,40209
2020-10-20,396452,338622,2435244,57830
2020-10-27,427706,312267,2436946,115439
2020-11-03,373270,294493,2410740,78777
2020-11-10,366600,328841,2460742,37759
2020-11-17,383760,344923,2534850,38837
2020-11-24,363836,377189,2549321,-13353
2020-12-01,360356,384722,2617521,-24366
2020-12-08,375872,418586,2715113,-42714
2020-12-15,367560,402247,2999769,-34687
2020-12-21,333189,357745,2475909,-24556
2020-12-29,352821,383653,2498905,-30832
2021-01-05,347249,382054,2553480,-34805
2021-01-12,360011,377622,2578114,-17611
2021-01-19,376360,378300,2599308,-1940
2021-01-26,371870,400245,2617305,-28375
2021-02-02,364571,399433,2640747,-34862
2021-02-09,342806,414309,2619444,-71503
2021-02-16,347018,426879,2636295,-79861
2021-02-23,355414,386701,2652739,-31287
2021-03-02,395610,372421,2767213,23189
2021-03-09,399052,381261,2779898,17791
2021-03-16,386620,390794,3063652,-4174
2021-03-23,304988,333294,2540184,-28306
2021-03-30,306648,356979,2564664,-50331
2021-04-06,341622,386965,2611712,-45343
2021-04-13,349328,389424,2643642,-40096
2021-04-20,364997,417158,2687111,-52161
2021-04-27,406989,404705,2713231,2284
2021-05-04,373636,407451,2705647,-33815
2021-05-11,356832,393649,2655280,-36817
2021-05-18,356399,379590,2619960,-23191
2021-05-25,393620,412108,2735735,-18488
2021-06-01,390376,422451,2767524,-32075
2021-06-08,387442,402122,2816156,-14680
2021-06-15,395561,412224,3117658,-16663
2021-06-22,364240,304905,2563884,59335
2021-06-29,378762,323595,2571895,55167
2021-07-06,403183,327626,2610712,75557
2021-07-13,408065,332626,2632508,75439
2021-07-20,401083,366905,2667977,34178
2021-07-27,421612,382237,2666461,39375
2021-08-03,439711,398445,2697035,41266
2021-08-10,438866,415755,2696698,23111
2021-08-17,429395,402060,2716225,27335
2021-08-24,443206,428313,2744903,14893
2021-08-31,389721,418445,2776075,-28724
2021-09-07,417586,445951,2827555,-28365
2021-09-14,401492,437334,3051765,-35842
2021-09-21,375136,325321,2453181,49815
2021-09-28,382495,309338,2457374,73157
2021-10-05,369731,296947,2437353,72784
2021-10-12,379901,281118,2403163,98783
2021-10-19,350155,282536,2386587,67619
2021-10-26,352672,256184,2404805,96488
2021-11-02,370716,245214,2431931,125502
2021-11-09,387391,289831,2437804,97560
2021-11-16,388285,277133,2454894,111152
2021-11-23,377514,253700,2455317,123814
2021-11-30,425700,245975,2510714,179725
2021-12-07,437939,272543,2514383,165396
2021-12-14,441419,273645,2754633,167774
2021-12-21,414346,277965,2262123,136381
2021-12-28,403614,300320,2287852,103294
2022-01-04,407706,298674,2297290,109032
2022-01-11,389727,312321,2283672,77406
2022-01-18,408370,283141,2309982,125229
2022-01-25,462479,235632,2378857,226847
2022-02-01,403492,244740,2283969,158752
2022-02-08,391655,214068,2229911,177587
2022-02-15,431462,236339,2270263,195123
2022-02-22,461265,224822,2374165,236443
2022-03-01,432163,271144,2387492,161019
2022-03-08,398681,271028,2435543,127653
2022-03-15,378499,276298,2582759,102201
2022-03-22,284150,338318,2111687,-54168
2022-03-29,286935,337790,2120049,-50855
2022-04-05,294186,325845,2122357,-31659
2022-04-12,314254,251290,2156967,62964
2022-04-19,314918,246489,2158797,68429
2022-04-26,362599,239849,2191696,122750
2022-05-03,360949,308742,2208674,52207
2022-05-10,383989,262214,2261956,121775
2022-05-17,351658,285012,2252109,66646
2022-05-24,351650,302762,2262171,48888
2022-05-31,326979,305072,2260467,21907
2022-06-07,320321,337345,2267420,-17024
2022-06-14,377967,343689,2654399,34278
2022-06-21,273629,387948,2262004,-114319
2022-06-28,248313,387539,2248771,-139226
2022-07-05,237370,421052,2309241,-183682
2022-07-12,224577,440105,2317580,-215528
2022-07-19,250387,458535,2335319,-208148
2022-07-26,240642,478277,2322824,-237635
2022-08-02,237594,469479,2310665,-231885
2022-08-09,227064,471325,2299388,-244261
2022-08-16,227370,515354,2346224,-287984
2022-08-23,226314,488590,2329538,-262276
2022-08-30,240653,480285,2329953,-239632
2022-09-06,226374,465094,2314290,-238720
2022-09-13,234795,515799,2603046,-281004
2022-09-20,221158,440609,2141022,-219451
2022-09-27,262797,412998,2233878,-150201
2022-10-04,225671,434968,2261285,-209297
2022-10-11,251711,415768,2277794,-164057
2022-10-18,240651,463849,2336566,-223198
2022-10-25,240817,459919,2361824,-219102
2022-11-01,278418,453481,2336711,-175063
2022-11-08,263541,440600,2318895,-177059
2022-11-15,257965,460610,2343509,-202645
2022-11-22,244703,436195,2304077,-191492
2022-11-29,243451,447627,2314527,-204176
2022-12-06,230914,434633,2287691,-203719
2022-12-13,226507,456629,2477140,-230122
2022-12-20,248641,408393,1986847,-159752
2022-12-27,244976,419257,1961310,-174281
2023-01-03,261260,428561,2010996,-167301
2023-01-10,243503,456677,2032566,-213174
2023-01-17,260337,487155,2056472,-226818
2023-01-24,250474,459465,2024437,-208991
2023-01-31,253439,475696,2061419,-222257
2023-02-07,248117,465662,2053086,-217545
2023-02-14,242274,488728,2076347,-246454
2023-02-21,231808,466099,2074486,-234291
2023-02-28,247954,431845,2113159,-183891
2023-03-07,228302,437784,2133169,-209482
2023-03-14,233300,353119,2550984,-119819
2023-03-21,203125,405605,2149005,-202480
2023-03-28,199472,424128,2142232,-224656
2023-04-04,163766,485225,2219512,-321459
2023-04-11,207007,514619,2248469,-307612
2023-04-18,204558,548815,2278321,-344257
2023-04-25,207333,570600,2265794,-363267
2023-05-02,208633,564044,2276183,-355411
2023-05-09,204181,580204,2296259,-376023
2023-05-16,201278,589999,2306298,-388721
2023-05-23,195793,600085,2385936,-404292
2023-05-30,187203,621373,2494943,-434170
2023-06-06,258074,602605,2500232,-344531
2023-06-13,258281,589694,2907468,-331413
2023-06-20,210230,449561,2223815,-239331
2023-06-27,222357,430607,2187114,-208250
2023-07-03,223358,430597,2211004,-207239
2023-07-11,224554,433533,2209607,-208979
2023-07-18,235723,499408,2280677,-263685
2023-07-25,238333,470948,2243361,-232615
2023-08-01,236062,436110,2241749,-200048
2023-08-08,240913,400483,2221709,-159570
2023-08-15,258924,377332,2220084,-118408
2023-08-22,235513,369004,2232226,-133491
2023-08-29,262853,404959,2267572,-142106
2023-09-05,245378,389589,2259160,-144211
2023-09-12,279471,395804,2520164,-116333
2023-09-19,202433,341424,2097946,-138991
2023-09-26,266095,355376,2137648,-89281
2023-10-03,239442,312677,2138034,-73235
2023-10-10,210930,305379,2073930,-94449
2023-10-17,219942,283120,2112419,-63178
2023-10-24,282604,272419,2158452,10185
2023-10-31,283793,279456,2174689,4337
2023-11-07,272240,325661,2177947,-53421
2023-11-14,274348,327181,2192899,-52833
2023-11-21,246961,327041,2240214,-80080
2023-11-28,281709,346736,2279894,-65027
2023-12-05,264209,311470,2314400,-47261
2023-12-12,257533,322616,2670454,-65083
2023-12-19,248763,444158,2156203,-195395
2023-12-26,251044,443506,2155313,-192462
2024-01-02,257321,471409,2221215,-214088
2024-01-09,272247,389296,2209328,-117049
2024-01-16,260119,429365,2217057,-169246
2024-01-23,280085,469558,2271312,-189473
2024-01-30,284559,510521,2308955,-225962
2024-02-06,278713,511675,2297385,-232962
2024-02-13,292466,508244,2338964,-215778
2024-02-20,271870,490400,2322953,-218530
2024-02-27,298538,522761,2344340,-224223
2024-03-05,285210,489650,2377697,-204440
2024-03-12,280718,520545,2678339,-239827
2024-03-19,258169,452338,2094749,-194169
2024-03-26,296031,465470,2110848,-169439
2024-04-02,290089,368211,2089222,-78122
2024-04-09,285690,348604,2091937,-62914
2024-04-16,348567,274453,2100522,74114
2024-04-23,320552,252874,2067890,67678
2024-04-30,272813,229680,2006204,43133
2024-05-07,262778,272473,2030975,-9695
2024-05-14,273398,298682,2081097,-25284
2024-05-21,304226,327000,2148201,-22774
2024-05-28,330937,333145,2179731,-2208
2024-06-04,265433,330433,2160026,-65000
2024-06-11,270380,381794,2266096,-111414
2024-06-18,314990,429100,2595590,-114110
2024-06-25,271908,337155,1976080,-65247
2024-07-02,317417,329225,2037086,-11808
2024-07-09,309758,364769,2048220,-55011
2024-07-16,333866,399310,2090007,-65444
2024-07-23,336386,349607,2047183,-13221
2024-07-30,335181,323225,2046205,11956
2024-08-06,326376,292386,2025834,33990
2024-08-13,285987,309438,2033008,-23451
2024-08-20,277634,362437,2050976,-84803
2024-08-27,302165,384073,2098974,-81908
2024-09-03,322215,371034,2106791,-48819
2024-09-10,337420,396808,2156591,-59388
2024-09-17,298516,421464,2579860,-122948
2024-09-24,289938,325691,2046032,-35753
2024-10-01,310708,303163,2081475,7545
2024-10-08,322686,328330,2132773,-5644
2024-10-15,350227,322092,2185413,28135
2024-10-22,360779,337798,2186686,22981
2024-10-29,366915,304217,2168363,62698
2024-11-05,374881,261441,2140451,113440
2024-11-12,360987,335986,2235256,25001
2024-11-19,348339,313428,2259351,34911
2024-11-26,266965,345859,2272398,-78894
2024-12-03,257606,366216,2279466,-108610
2024-12-10,288876,372209,2324611,-83333
2024-12-17,313420,353282,2596020,-39862
2024-12-24,274748,338539,2083230,-63791
2024-12-31,259743,316545,2058648,-56802
2025-01-07,264667,326870,2069259,-62203
2025-01-14,256358,286900,2044090,-30542
2025-01-21,263815,339530,2036469,-75715
2025-01-28,252595,308749,2033094,-56154
2025-02-04,306741,311558,2071863,-4817
2025-02-11,333661,350770,2096517,-17109
2025-02-18,313105,353071,2120653,-39966
2025-02-25,300949,333728,2126872,-32779
2025-03-04,366510,334407,2180944,32103
2025-03-11,378925,298312,2282648,80613
2025-03-18,342952,274641,2560662,68311
2025-03-25,263754,317116,2074351,-53362
2025-04-01,300366,319388,2111750,-19022
2025-04-08,321451,350138,2332802,-28687
2025-04-15,254206,317303,2181908,-63097
2025-04-22,260930,336865,2209656,-75935
2025-04-29,240096,318762,2134084,-78666
2025-05-06,251351,327756,2133652,-76405
2025-05-13,243291,365485,2125890,-122194
2025-05-20,246588,343157,2113668,-96569
2025-05-27,259592,312562,2112166,-52970
2025-06-03,253198,322613,2123862,-69415
2025-06-10,216963,344631,2223909,-127668
2025-06-17,220066,394213,2450146,-174147
2025-06-24,211448,356223,1886352,-144775
2025-07-01,243463,330272,1887354,-86809
2025-07-08,231861,371879,1899046,-140018
2025-07-15,231049,398827,1935859,-167778
2025-07-22,219848,388329,1917043,-168481
2025-07-29,232741,395922,1941931,-163181
2025-08-05,231427,371073,1909338,-139646
2025-08-12,222421,414478,1967857,-192057
2025-08-19,221430,392928,1974585,-171498
2025-08-26,223665,411417,2018365,-187752
2025-09-02,223530,384590,1997661,-161060
2025-09-09,235086,408751,2035158,-173665
2025-09-16,220582,445656,2435899,-225074
2025-09-23,228168,400717,1950977,-172549
2025-09-30,224202,360891,1942253,-136689
2025-10-07,229017,373108,1951558,-144091
2025-10-14,213826,379509,1929048,-165683
2025-10-21,222837,368187,1882544,-145350
2025-10-28,220321,370456,1929734,-150135
2025-11-04,221734,385679,1956133,-163945
2025-11-10,228657,386587,1981117,-157930
2025-11-18,226755,374160,2037320,-147405
2025-11-25,243930,399208,2070962,-155278
2025-12-02,226401,422068,2074887,-195667
2025-12-09,227422,417867,2141031,-190445
2025-12-16,247967,413986,2466313,-166019
2025-12-23,240524,322344,1911017,-81820
2025-12-30,224927,319342,1936495,-94415
2026-01-06,227064,333152,1945513,-106088
2026-01-13,247686,369813,1909351,-122127
2026-01-20,246594,328370,1926910,-81776
2026-01-27,245442,345229,1897461,-99787
2026-02-03,248468,381409,1928476,-132941
2026-02-10,242378,347507,1934958,-105129
2026-02-17,196426,374257,1966090,-177831
2026-02-24,201411,394894,2017196,-193483
