variant,n_eval_days,selector_pass_rate_pct,n_trades,entries_per_yr,cum_pnl_usd,avg_pnl_per_trade,worst_trade_usd,hit_rate_pct,bp_mean_usd,bp_p50_usd,bp_p95_usd,bp_max_usd,bp_mean_pct_nlv,bp_p95_pct_nlv,max_expiry_concentration_pct,effective_expiry_count_mean
V1a_weekly_strict,1245,46.1847389558233,560,21.21564153096152,118171.1370964501,211.01988767223233,0.0,42.67857142857142,742.2308901790035,0.0,2500.0,4009.0,0.08302358950548137,0.2796420581655481,82.34744188240231,1.3574035606730228
V1b_weekly_catchup,1378,59.21625544267054,785,29.739783217508556,188144.45468195807,239.6744645630039,0.0,48.02547770700637,941.1940009675858,437.3333333333333,2809.324999999976,4033.0,0.10527897102545701,0.3142421700223687,75.66375565719818,1.5470694493461168
V2_biweekly_strict,623,46.54895666131621,285,10.797246136292916,64491.08134041718,226.28449593128835,0.0,45.96491228070175,372.87723754233184,0.0,1250.0,1750.0,0.041708863259768664,0.13982102908277405,99.90166377331231,1.0021193433806364
V3_daily_cluster,917,100.0,883,33.452520485426824,223518.53777900315,253.13537687316324,0.0,50.62287655719139,1011.0462022254474,445.8333333333333,3750.0,4467.0,0.11309241635631402,0.41946308724832215,73.54845224583565,1.6137511868510925
BaselineB_cluster_30d,254,100.0,976,36.975832382532936,266853.29488259985,273.41526115020474,0.0,55.32786885245902,988.541848089018,0.0,5000.0,6722.0,0.11057515079295503,0.5592841163310962,100.0,1.0
