entry_date,exit_date,strategy,exit_pnl,contracts,total_bp,entry_spx,entry_vix,dte_at_entry,hold_days,exit_reason,spread_width
2000-01-11,2000-02-01,Bull Put Spread (High Vol),-622.1789433398072,5.139,21000.0,1438.56005859375,22.5,35,14,roll_21dte,49.0
2000-02-03,2000-03-03,Iron Condor (High Vol),3520.07650146722,4.1842,21000.0,1424.969970703125,22.010000228881836,45,20,50pct_profit,63.0
2000-02-07,2000-03-03,Iron Condor (High Vol),3508.9152385125717,4.0486,21000.0,1424.239990234375,22.790000915527344,45,18,50pct_profit,65.0
2000-02-29,2000-03-22,Bear Call Spread (High Vol),-6211.891364925099,3.5763,21000.0,1366.4200439453125,23.3700008392334,45,16,stop_loss,67.0
2000-03-09,2000-04-12,Iron Condor (High Vol),10.410651362965211,4.3442,21000.0,1401.68994140625,22.209999084472656,45,24,roll_21dte,61.0
2000-03-23,2000-04-12,Bull Put Spread (High Vol),-3986.9979609179836,4.9324,21000.0,1527.3499755859375,22.260000228881836,35,14,roll_21dte,51.0
2000-03-15,2000-04-18,Iron Condor (High Vol),1526.2048044971261,4.2592,21000.0,1392.1400146484375,22.34000015258789,45,24,roll_21dte,62.0
2000-04-12,2000-05-03,Bull Put Spread (High Vol),-1651.693517334185,3.9562,21000.0,1467.1700439453125,28.979999542236328,35,14,roll_21dte,64.0
2000-04-13,2000-05-12,Iron Condor (High Vol),3344.3385540549984,3.048,21000.0,1440.510009765625,29.399999618530273,45,20,50pct_profit,86.0
2000-04-18,2000-05-15,Iron Condor (High Vol),1330.6034824747749,2.1054,21000.0,1441.6099853515625,26.1200008392334,45,18,50pct_profit,110.0
2000-06-05,2000-06-23,Bull Put Spread (High Vol),20.273104922234307,5.0329,21000.0,1467.6300048828125,22.709999084472656,35,14,roll_21dte,50.0
2000-06-06,2000-06-29,Iron Condor (High Vol),3347.363034559007,3.9389,21000.0,1457.8399658203125,23.049999237060547,45,17,50pct_profit,67.0
2000-06-08,2000-06-30,Iron Condor (High Vol),3362.373159998394,4.0724,21000.0,1461.6700439453125,22.770000457763672,45,16,50pct_profit,65.0
2000-06-26,2000-07-11,Bull Put Spread (High Vol),2609.9534200690846,5.0333,21000.0,1455.31005859375,22.450000762939453,35,10,50pct_profit,50.0
2000-10-03,2000-11-06,Iron Condor,2801.694654546973,4.5845,22500.0,1426.4599609375,21.850000381469727,45,24,roll_21dte,62.0
2000-10-16,2000-11-14,Iron Condor (High Vol),1400.178637801279,2.1288,21000.0,1374.6199951171875,26.790000915527344,45,21,50pct_profit,109.0
2000-10-19,2000-11-16,Iron Condor (High Vol),1380.2535037487348,2.3236,21000.0,1388.760009765625,25.09000015258789,45,20,50pct_profit,100.0
2001-01-24,2001-02-13,Bull Put Spread (High Vol),-1734.661594170072,5.4713,21000.0,1364.300048828125,22.030000686645508,35,14,roll_21dte,46.0
