variant,layer1_trades,layer2_trades,trade_reduction_pct,layer1_ann_pnl_pct,layer2_ann_pnl_pct,pnl_reduction_pct,layer2_w20d_pct,layer2_w63d_pct,layer2_max_dd_pct,layer2_eff_expiry
V1b_weekly_catchup,816,525,35.661764705882355,26.357664208347515,14.883753345238492,43.531592072848454,-3.3577742894875353,-4.158097973126676,-7.293236941109821,452.3010415311566
V3_daily_cluster,917,559,39.04034896401309,28.094832017461307,14.939072092092859,46.82626298385401,-3.319024570494559,-4.537929174192026,-5.172757419327552,482.89628500675974
BaselineB_cluster,254,254,0.0,6.0709892851320415,6.0709892851320415,0.0,-3.0944073718175495,-4.221265855698371,-7.1591839822525944,221.93472128254368
