date,bp_used,max_conc_pct,eff_expiry_count,variant
2000-01-03,0.0,0.0,0.0,V1b_weekly_catchup
2000-01-10,0.0,0.0,0.0,V1b_weekly_catchup
2000-01-17,4086.3981319322825,100.0,1.0,V1b_weekly_catchup
2000-01-24,4086.3981319322825,100.0,1.0,V1b_weekly_catchup
2000-01-31,4086.3981319322825,100.0,1.0,V1b_weekly_catchup
2000-02-07,9273.37634662378,55.934085071182906,1.9722205901014902,V1b_weekly_catchup
2000-02-14,9273.37634662378,55.934085071182906,1.9722205901014902,V1b_weekly_catchup
2000-02-21,5186.978214691498,100.0,1.0,V1b_weekly_catchup
2000-02-28,5186.978214691498,100.0,1.0,V1b_weekly_catchup
2000-03-06,11058.96881950653,53.09708979789899,1.9923557571516024,V1b_weekly_catchup
2000-03-13,5871.990604815032,100.0,1.0,V1b_weekly_catchup
2000-03-20,19840.194106234303,45.552478328136864,2.802255654541216,V1b_weekly_catchup
2000-03-27,30028.43396650987,33.92864200523515,3.6914291513895354,V1b_weekly_catchup
2000-04-03,30028.43396650987,33.92864200523515,3.6914291513895354,V1b_weekly_catchup
2000-04-10,24156.44336169484,42.17607578949797,2.7815121133309,V1b_weekly_catchup
2000-04-17,39438.91898616927,25.832959224486995,4.60930490845344,V1b_weekly_catchup
2000-04-24,45825.46977378751,44.41799372601428,3.2518400606109834,V1b_weekly_catchup
2000-05-01,39049.1456229467,52.12599139960776,2.754295091472262,V1b_weekly_catchup
2000-05-08,46299.77573723044,43.962965187042805,3.5362834892325665,V1b_weekly_catchup
2000-05-15,61022.153751812606,33.35633542503879,4.5248720560348055,V1b_weekly_catchup
2000-05-22,54777.37824784085,37.159051674474455,3.8619384866989512,V1b_weekly_catchup
2000-05-29,34422.623958803335,42.76948216440956,3.2674635350512076,V1b_weekly_catchup
2000-06-05,40444.56472594491,36.4013758445467,4.129758852450916,V1b_weekly_catchup
2000-06-12,40821.69967649717,36.06507845399313,4.148368630173007,V1b_weekly_catchup
2000-06-19,26099.32166191501,34.62810351002638,3.6829335198577917,V1b_weekly_catchup
2000-06-26,21233.83460242599,35.92269228641595,3.7360739800104534,V1b_weekly_catchup
2000-07-03,21233.83460242599,35.92269228641595,3.7360739800104534,V1b_weekly_catchup
2000-07-10,11799.978125849651,64.64219665057023,1.8420318282053545,V1b_weekly_catchup
2000-07-17,4172.213061013649,100.0,1.0,V1b_weekly_catchup
2000-07-24,4172.213061013649,100.0,1.0,V1b_weekly_catchup
2000-07-31,0.0,0.0,0.0,V1b_weekly_catchup
2000-08-07,0.0,0.0,0.0,V1b_weekly_catchup
2000-08-14,0.0,0.0,0.0,V1b_weekly_catchup
2000-08-21,0.0,0.0,0.0,V1b_weekly_catchup
2000-08-28,0.0,0.0,0.0,V1b_weekly_catchup
2000-09-04,0.0,0.0,0.0,V1b_weekly_catchup
2000-09-11,0.0,0.0,0.0,V1b_weekly_catchup
2000-09-18,0.0,0.0,0.0,V1b_weekly_catchup
2000-09-25,0.0,0.0,0.0,V1b_weekly_catchup
2000-10-02,0.0,0.0,0.0,V1b_weekly_catchup
2000-10-09,4907.841640309739,100.0,1.0,V1b_weekly_catchup
2000-10-16,14772.554154402187,66.77729802840348,1.7976056207924263,V1b_weekly_catchup
2000-10-23,19520.892236073603,50.5341272048158,2.647275817921897,V1b_weekly_catchup
2000-10-30,29590.902785608465,34.03076486883128,3.5688482797299725,V1b_weekly_catchup
2000-11-06,47915.71962521907,48.486506435964074,3.0168901915615107,V1b_weekly_catchup
2000-11-13,47915.71962521907,48.486506435964074,3.0168901915615107,V1b_weekly_catchup
2000-11-20,54163.951176192226,42.89321213724944,3.177322346360992,V1b_weekly_catchup
2000-11-27,49415.61309452081,47.014813790697204,2.71085034981765,V1b_weekly_catchup
2000-12-04,39345.602544985944,59.047662196447995,1.9365882076036651,V1b_weekly_catchup
2000-12-11,47095.95630265671,34.213009629781446,2.9989292159709606,V1b_weekly_catchup
2000-12-18,47095.95630265671,34.213009629781446,2.9989292159709606,V1b_weekly_catchup
2000-12-25,30983.01223759111,50.18442018294482,1.999972791727048,V1b_weekly_catchup
2001-01-01,64001.88016211941,51.59046553146586,2.608695478708055,V1b_weekly_catchup
2001-01-08,74644.49114934828,44.23483557341738,3.3096705114203417,V1b_weekly_catchup
2001-01-15,48021.94402803623,68.75787432772647,1.8863484345359287,V1b_weekly_catchup
2001-01-22,56739.27772310519,58.194022288518596,2.5530914697745337,V1b_weekly_catchup
2001-01-29,67460.67456795125,48.94535688532037,3.3075919393093995,V1b_weekly_catchup
2001-02-05,37917.59200540118,28.27552140789652,4.8287988190704585,V1b_weekly_catchup
2001-02-12,27274.981018172315,39.308540078186674,4.032583744880412,V1b_weekly_catchup
2001-02-19,22914.515901893246,46.78866833036716,3.1733348892681272,V1b_weekly_catchup
2001-02-26,19454.80576097781,55.10924640713147,2.4470451680631347,V1b_weekly_catchup
2001-03-05,8733.40891613174,60.2012754085293,1.9200742076714041,V1b_weekly_catchup
2001-03-12,10447.165391745575,50.32583822505223,1.9999150671678219,V1b_weekly_catchup
2001-03-19,10447.165391745575,50.32583822505223,1.9999150671678219,V1b_weekly_catchup
2001-03-26,49429.90160856384,78.86468503523062,1.5520723051296454,V1b_weekly_catchup
2001-04-02,44172.278054410315,88.25158659193511,1.261611914922496,V1b_weekly_catchup
2001-04-09,44172.278054410315,88.25158659193511,1.261611914922496,V1b_weekly_catchup
2001-04-16,60858.7843948661,64.05441154376189,2.037678772054723,V1b_weekly_catchup
2001-04-23,69665.29282395274,55.95718418255896,2.560803721736993,V1b_weekly_catchup
2001-04-30,58209.10005974949,47.289072369028275,2.989859245523253,V1b_weekly_catchup
2001-05-07,63451.36771495806,43.38211207088905,3.4685270082418382,V1b_weekly_catchup
2001-05-14,67920.21347593865,40.52776345051763,3.907083719571552,V1b_weekly_catchup
2001-05-21,46044.16529789082,59.78291337138422,2.401749175674176,V1b_weekly_catchup
2001-05-28,40910.012772553484,67.28558997440003,2.0443800291658962,V1b_weekly_catchup
2001-06-04,17743.93443621753,29.543998114129984,3.9379624174526855,V1b_weekly_catchup
2001-06-11,12501.666781008962,35.74599962757868,2.978661569769912,V1b_weekly_catchup
2001-06-18,8032.82102002837,54.28311057108141,1.9854308794857976,V1b_weekly_catchup
2001-06-25,8032.82102002837,54.28311057108141,1.9854308794857976,V1b_weekly_catchup
2001-07-02,4360.46511627907,100.0,1.0,V1b_weekly_catchup
2001-07-09,4903.792266019055,100.0,1.0,V1b_weekly_catchup
2001-07-16,4903.792266019055,100.0,1.0,V1b_weekly_catchup
2001-07-23,9639.60175116891,50.87131597967121,1.9993928311538356,V1b_weekly_catchup
2001-07-30,14543.394017187966,33.718348414569235,2.999199735822205,V1b_weekly_catchup
2001-08-06,14543.394017187966,33.718348414569235,2.999199735822205,V1b_weekly_catchup
2001-08-13,14451.700742919598,33.93228487949141,2.999390418973542,V1b_weekly_catchup
2001-08-20,14451.700742919598,33.93228487949141,2.999390418973542,V1b_weekly_catchup
2001-08-27,9715.891257769743,50.4718726868986,1.9998218847978129,V1b_weekly_catchup
2001-09-03,9453.803602510601,50.901194842600304,1.9993504892851444,V1b_weekly_catchup
2001-09-10,9453.803602510601,50.901194842600304,1.9993504892851444,V1b_weekly_catchup
2001-09-17,4641.704610759913,100.0,1.0,V1b_weekly_catchup
2001-09-24,4641.704610759913,100.0,1.0,V1b_weekly_catchup
2001-10-01,9390.042692431329,50.56780077793177,1.9997421150778691,V1b_weekly_catchup
2001-10-08,4748.338081671415,100.0,1.0,V1b_weekly_catchup
