strategy,n_trades,avg_pnl_per_contract,median_pnl_per_contract,std_pnl_per_contract,worst_pnl_per_contract,best_pnl_per_contract,avg_bp_per_contract,hit_rate_pct
Bull Put Spread (High Vol),42,528.7823958127564,487.83639497407574,896.375024659439,-1480.9275390472121,2663.948970681646,6843.302191260554,73.80952380952381
Iron Condor (High Vol),112,895.2123089374024,708.6714645669888,1339.2483265582161,-4066.392784427388,3877.276113707635,13857.51705113338,88.39285714285714
Bear Call Spread (High Vol),18,210.21547357728724,448.11271274046857,693.4305027531343,-1736.9603682367529,1633.1851388748407,6532.590576770336,66.66666666666666
Iron Condor,69,602.273265303521,611.1232750675042,1175.2670845946006,-2349.346141974813,3380.912493026964,7112.014173975264,82.6086956521739
Bull Call Diagonal,94,1102.5293941187224,376.51791669135264,2875.835863530543,-4538.959046708613,10663.554595719559,10550.236341683763,54.25531914893617
Bull Put Spread,38,867.005297569544,1012.2785088870178,1530.2941944933336,-5190.552713722257,3349.2106814466233,9061.910981296276,81.57894736842105
