variant,sizing,ann_pnl_mean,ann_pnl_pct_mean,cum_pnl_p5,cum_pnl_p95,cum_pnl_std,worst_trade_mean_pct_nlv,worst_trade_p5_pct_nlv
V1b_weekly_catchup,S1_1contract,74695.0902866938,8.355155513052997,1803236.672298038,2168146.6859871997,131785.13861039255,-1.4290328875916014,-1.4290328875916012
V1b_weekly_catchup,S2_4contracts_10pct_bp,298780.3611467752,33.42062205221199,7212946.689192152,8672586.743948799,527140.5544415702,-5.716131550366406,-5.716131550366405
V1b_weekly_catchup,S3_3contracts_7p5pct_bp,224085.27086008142,25.065466539158997,5409710.016894114,6504440.057961601,395355.41583117755,-4.287098662774803,-4.287098662774803
V3_daily_cluster,S1_1contract,82451.19149197405,9.22272835480694,2002280.39082757,2403242.5843876,138414.6256536542,-1.4290328875916014,-1.4290328875916012
V3_daily_cluster,S2_4contracts_10pct_bp,329804.7659678962,36.89091341922776,8009121.56331028,9612970.3375504,553658.5026146168,-5.716131550366406,-5.716131550366405
V3_daily_cluster,S3_3contracts_7p5pct_bp,247353.57447592219,27.668185064420825,6006841.172482711,7209727.753162801,415243.8769609625,-4.287098662774803,-4.287098662774803
BaselineB_cluster,S1_1contract,21484.22476418739,2.4031571324594396,427751.1267242677,659564.3294221637,80231.93006560569,-1.4290328875916014,-1.4290328875916012
BaselineB_cluster,S2_4contracts_10pct_bp,85936.89905674956,9.612628529837759,1711004.506897071,2638257.3176886546,320927.72026242275,-5.716131550366406,-5.716131550366405
BaselineB_cluster,S3_3contracts_7p5pct_bp,64452.67429256217,7.209471397378319,1283253.380172803,1978692.988266491,240695.79019681702,-4.287098662774803,-4.287098662774803
