crisis,baseline_cum,combined_mean,combined_p5,combined_p95,delta_vs_baseline
DotCom_2000_03,-4721.073523082583,31595.9182968045,-12472.973696065303,65527.49745916851,36316.99181988708
PreGFC_2007_07,13003.310937201573,29623.401759988872,-21529.19920426685,66753.46882910513,16620.0908227873
Vol_2018_02,100455.41980728149,141272.71662172553,100376.57448684327,176815.0661624618,40817.29681444404
COVID_2020_02,-33110.35763907582,-18122.604752008006,-49163.487561067384,-1649.2174493323864,14987.75288706781
Bear_2022_01,53492.233812685656,77255.9828331221,52276.43998610096,96813.09928667835,23763.74902043645
