period,baseline_ann_roe_pct,combined_ann_roe_mean,combined_ann_roe_p5,delta_roe_pp,combined_maxdd_mean,combined_w20d_mean,combined_w63d_mean
H1_2000_2012,8.457181828341032,12.46017033423703,11.590743749343982,4.002988505895999,-7.396632972826774,-5.8809269976625655,-5.0639193881012465
H2_2013_2026,14.536966832106701,17.63591260647619,17.085438042926786,3.098945774369488,-4.361258382405981,-3.714497572668756,-2.616410301419797
