date,baseline_pnl
2000-01-03,36.1265873015873
2000-01-04,36.1265873015873
2000-01-05,36.1265873015873
2000-01-06,36.1265873015873
2000-01-07,36.1265873015873
2000-01-10,36.1265873015873
2000-01-11,36.1265873015873
2000-01-12,-1012.3824366459312
2000-01-13,3867.0155527079223
2000-01-14,3885.2622492206306
2000-01-18,-3930.6706507709864
2000-01-19,261.28603648423797
2000-01-20,-1832.6342091833776
2000-01-21,743.6574350812842
2000-01-24,-9600.132322996482
2000-01-25,2901.758081723693
2000-01-26,-907.5078608067049
2000-01-27,-1266.6369861448788
2000-01-28,-10760.425478013138
2000-01-31,9519.327123472238
2000-02-01,-1817.9666638510378
2000-02-02,36.1265873015873
2000-02-03,36.1265873015873
2000-02-04,1061.2241868005601
2000-02-07,-1374.6714701123526
2000-02-08,4490.297188275601
2000-02-09,-3530.7019046022715
2000-02-10,485.6696246895535
2000-02-11,-4884.707420205702
2000-02-14,1162.14834373938
2000-02-15,5604.973196682589
2000-02-16,-2333.554310333894
2000-02-17,1635.520300976522
2000-02-18,-10775.489534628286
2000-02-22,2316.085745725844
2000-02-23,6319.05366353189
2000-02-24,-2138.289970505977
2000-02-25,-5307.1033469883305
2000-02-28,5884.847732123479
2000-02-29,8137.013603732783
2000-03-01,7251.160508674071
2000-03-02,2819.9567974432603
2000-03-03,18996.88589189282
2000-03-06,964.1929280386415
2000-03-07,2349.115612306208
2000-03-08,-564.4937276147816
2000-03-09,-2871.524580641533
2000-03-10,3552.1052257894416
2000-03-13,-1660.7984744240089
2000-03-14,-1109.478637869917
2000-03-15,2662.7922593232242
2000-03-16,-11577.398204725429
2000-03-17,-6562.8725110397645
2000-03-20,2584.6906898355246
2000-03-21,-14025.548070106264
2000-03-22,-19872.994718064092
2000-03-23,-11016.56073166817
2000-03-24,-1407.551318183702
2000-03-27,-819.6417958301996
2000-03-28,3338.5591507158947
2000-03-29,2519.647035406591
2000-03-30,822.4576388559037
2000-03-31,2941.972580156938
2000-04-03,-139.96338556277198
2000-04-04,-4202.424954740613
2000-04-05,-958.7330894586254
2000-04-06,2311.528458466846
2000-04-07,3951.059005483973
2000-04-10,477.6211328688563
2000-04-11,-729.0030567783286
2000-04-12,-7714.585493652456
2000-04-13,-531.3684553173008
2000-04-14,-19775.050578755166
2000-04-17,18651.28790872287
2000-04-18,17401.994119186395
2000-04-19,-3313.025108172461
2000-04-20,4670.840145901447
2000-04-24,-3396.9093818602796
2000-04-25,10093.431577540518
2000-04-26,-3802.233351747279
2000-04-27,2986.348484238476
2000-04-28,-16.56104771732769
2000-05-01,2784.0474959898456
2000-05-02,-6516.995095673329
