name,n_days,ann_roe_pct,max_dd_pct,w20d_pct,w63d_pct,sharpe,final_eq_M,seed,ladder_cum_pnl,delta_roe_pp,delta_max_dd_pp,delta_w20d_pp,delta_w63d_pp,delta_sharpe,bp_mean_pct,bp_p95_pct
combined_seed0,6632,10.086002467970134,-10.26325559167228,-8.812439167388096,-4.629163585220181,3.1778701328258903,11.210382872706091,0,4071645.781780042,1.871713498823846,-1.5482833188186262,-1.770373790207172,4.027108421609012,1.162449974290928,8.642246567202427,27.088932161722752
combined_seed1,6632,10.135238940196633,-7.296112855318311,-5.470564451233227,-3.0554421318183063,3.31164918252492,11.343085657308421,1,4204348.566382392,1.9209499710503444,1.4188594175353426,1.5715009259476966,5.600829875010886,1.2962290239899579,8.702857635098097,25.82623044225934
combined_seed2,6632,9.711096813551713,-6.748458086264705,-5.6729378463636735,-3.4755474927699503,3.015008446400863,10.247783728111196,2,3109046.6371852024,1.4968078444054242,1.9665141865889488,1.3691275308172504,5.180724514059243,0.9995882878659006,8.71399471278761,26.719567333234124
combined_seed3,6632,10.215520332492446,-5.6473777001693914,-4.08055798958451,-5.7812968790294,3.4599246229013247,11.562707926369386,3,4423970.835443376,2.0012313633461574,3.0675945726842624,2.9615073875964137,2.874975127799793,1.4445044643663625,8.763765570424372,27.336300220804088
combined_seed4,6632,9.976259731558624,-8.270568893191536,-6.515117975002953,-7.580370859254431,3.062163878186878,10.919955632807193,4,3781218.5418811827,1.7619707624123357,0.44440337966211807,0.5269474021779708,1.0759011475747613,1.0467437196519156,8.841254281357326,28.168004240427862
combined_seed5,6632,9.996047673663089,-7.181779072696691,-6.0166837571498,-4.9272723514489405,3.176227632661944,10.971782628487563,5,3833045.537561555,1.7817587045168004,1.5331932001569628,1.0253816200311237,3.7289996553802522,1.1608074741269818,8.671156406621282,25.867039231439964
combined_seed6,6632,10.108226450846324,-6.51082016020821,-5.291837812919649,-3.8247436244847126,3.2142411050321145,11.270095263810466,6,4131358.172884471,1.8939374817000356,2.2041521126454438,1.7502275642612748,4.83152838234448,1.1988209464971522,8.712751114563597,26.443057909265573
combined_seed7,6632,10.179402450860287,-6.148069984996615,-5.6081143548430425,-6.308780739859738,3.35177150717585,11.46340031985567,7,4324663.228929689,1.965113481713999,2.5669022878570384,1.4339510223378813,2.3474912669694543,1.3363513486408878,8.727873844771636,27.350183086186274
combined_seed8,6632,10.051699079495213,-9.154367501738983,-7.538491756131939,-4.972316014711354,3.1883828293622414,11.11881203144464,8,3980074.940518647,1.8374101103489249,-0.43939522888532956,-0.49642637895101505,3.6839559921178386,1.1729626708272791,8.776215187204581,27.41993272340294
combined_seed9,6632,9.998269880115341,-9.305462988491792,-7.790728113155124,-4.500297765962911,3.3712944878816176,10.977617611089006,9,3838880.520162997,1.7839809109690528,-0.590490715638138,-0.7486627359742002,4.155974240866282,1.3558743293466553,8.788513101497495,27.516413099711144
combined_seed10,6632,10.022563012776287,-7.102269935756215,-7.318746400901969,-4.477227718856619,3.22773264982948,11.041600577103226,10,3902863.4861771856,1.8082740436299982,1.6127023370974385,-0.2766810237210455,4.179044287972574,1.2123124912945178,8.812599368447328,26.901731292154587
combined_seed11,6632,9.828021126996056,-4.8004947963701,-3.923635061915948,-4.04872462929111,3.249803391260647,10.53912254348637,11,3400385.4525603782,1.6137321578497676,3.9144774764835537,3.118430315264976,4.607547377538083,1.2343832327256847,8.75542611529452,26.414321531601587
combined_seed12,6632,9.845266549059328,-7.529828170331222,-5.921316097207962,-5.799874874929934,2.945353052684185,10.582761322223337,12,3444024.231297322,1.63097757991304,1.1851441025224316,1.1207492799729621,2.856397131899259,0.9299328941492226,8.600774449867018,25.880148116213896
combined_seed13,6632,10.085005003587021,-6.675420837567021,-5.257917735777385,-3.5189750087369576,3.280496720412834,11.207709989970091,13,4068972.899044067,1.8707160344407328,2.039551435286633,1.784147641403539,5.137296998092236,1.2650765618778719,8.787782888640235,26.356541108781595
combined_seed14,6632,10.120070040127715,-5.426025396698848,-3.5796405176680346,-2.7144755592859373,3.324318780809334,11.302042006863719,14,4163304.915937648,1.9057810709814262,3.2889468761548057,3.4624248595128893,5.941796447543256,1.3088986222743717,8.788875295223841,29.165276611057095
combined_seed15,6632,10.068763792564607,-8.942165519773411,-7.148299274212549,-8.117171212869403,3.088794920977974,11.16427494906663,15,4025537.858140556,1.8544748234183182,-0.22719324691975729,-0.10623389703162545,0.5391007939597898,1.0733747624430117,8.724842454648723,26.889748849779043
combined_seed16,6632,9.943269866760218,-7.848019470230386,-6.189030154773318,-3.930324440223355,3.233218123866774,10.834074416675547,16,3695337.325749495,1.7289808976139298,0.8669528026232678,0.8530352224076054,4.7259475666058375,1.2177979653318118,8.735947788584717,26.312429959445428
combined_seed17,6632,9.939491280204948,-5.854797352972586,-4.466478161318498,-3.2382948461119367,3.2998859663716154,10.824279345788627,17,3685542.2548625963,1.7252023110586592,2.860174919881068,2.5755872158624262,5.417977160717256,1.284465807836653,8.763429113855754,27.897167576369842
combined_seed18,6632,9.97123253125638,-8.798292565141614,-5.992221107386489,-7.624327589248228,3.1710754379633315,10.906826355846173,18,3768089.2649201583,1.7569435621100915,-0.08332029228795967,1.049844269794435,1.0319444175809647,1.1556552794283692,8.854149878668863,28.278216107702708
combined_seed19,6632,10.045204004220176,-8.429072576945542,-5.023782218317168,-8.753760437911518,3.07420927614827,11.101555028415925,19,3962817.937489917,1.8309150350738879,0.28589969590811215,2.018283158863756,-0.09748843108232563,1.058789117613308,8.811377236429374,27.206694333929494
