variant,entry_date,strategy,n_contracts,pnl_per_contract,total_pnl,total_bp,pnl_pct,source,expiry_proxy,sizing
V1b_weekly_catchup,2000-01-11,Bull Put Spread (High Vol),1,-622.7882540256791,-622.7882540256791,21020.56566610021,-0.02962756873046701,engine_exact_d+0,2000-02-15,S1_1contract
V1b_weekly_catchup,2000-02-07,Iron Condor (High Vol),1,4503.151421068328,4503.151421068328,26950.26052624784,0.16709120183393197,engine_exact_d+0,2000-03-13,S1_1contract
V1b_weekly_catchup,2000-02-29,Bear Call Spread (High Vol),1,-9406.70241329276,-9406.70241329276,31800.419401173778,-0.29580435071071903,engine_exact_d+0,2000-04-04,S1_1contract
V1b_weekly_catchup,2000-03-15,Iron Condor (High Vol),1,1904.730717193177,1904.730717193177,26208.3731771741,0.0726764192617679,engine_exact_d+0,2000-04-19,S1_1contract
V1b_weekly_catchup,2000-03-20,Iron Condor (High Vol),1,3165.206201552406,3165.206201552406,48157.334904111056,0.06572635732136833,bootstrap,2000-04-24,S1_1contract
V1b_weekly_catchup,2000-03-27,Bull Put Spread (High Vol),1,3187.3823945851427,3187.3823945851427,21073.676165759807,0.15124947206714479,bootstrap,2000-05-01,S1_1contract
V1b_weekly_catchup,2000-04-12,Bull Put Spread (High Vol),1,-2105.7290772377064,-2105.7290772377064,26772.709439074948,-0.0786520722540088,engine_exact_d+0,2000-05-17,S1_1contract
V1b_weekly_catchup,2000-04-17,Iron Condor (High Vol),1,3244.1279531557925,3244.1279531557925,51199.84121006775,0.0633620705940369,engine_exact_d+1,2000-05-22,S1_1contract
V1b_weekly_catchup,2000-04-24,Iron Condor (High Vol),1,5120.3913148988295,5120.3913148988295,60520.4762923604,0.08460593221645192,bootstrap,2000-05-29,S1_1contract
V1b_weekly_catchup,2000-05-01,Bull Put Spread (High Vol),1,3309.65668790609,3309.65668790609,23131.844062441374,0.14307794393616466,bootstrap,2000-06-05,S1_1contract
V1b_weekly_catchup,2000-05-08,Iron Condor (High Vol),1,3245.349974737285,3245.349974737285,50132.831437233996,0.06473502257299078,bootstrap,2000-06-12,S1_1contract
V1b_weekly_catchup,2000-05-15,Iron Condor (High Vol),1,580.02939151786,580.02939151786,26451.902794798367,0.02192770009845643,bootstrap,2000-06-19,S1_1contract
V1b_weekly_catchup,2000-05-22,Iron Condor (High Vol),1,3165.206201552406,3165.206201552406,48157.334904111056,0.06572635732136833,bootstrap,2000-06-26,S1_1contract
V1b_weekly_catchup,2000-05-30,Bear Call Spread (High Vol),1,2704.6121277560756,2704.6121277560756,30899.76783417681,0.08752855821669406,bootstrap,2000-07-04,S1_1contract
V1b_weekly_catchup,2000-06-05,Bull Put Spread (High Vol),1,20.310335821953927,20.310335821953927,21038.565818956253,0.0009653859486778242,engine_exact_d+0,2000-07-10,S1_1contract
V1b_weekly_catchup,2000-06-12,Iron Condor (High Vol),1,4086.9901405860137,4086.9901405860137,62789.7349160465,0.065090100253657,bootstrap,2000-07-17,S1_1contract
V1b_weekly_catchup,2000-06-26,Bull Put Spread (High Vol),1,2636.672130720749,2636.672130720749,21214.98196840237,0.12428349619376594,engine_exact_d+0,2000-07-31,S1_1contract
V1b_weekly_catchup,2000-10-03,Iron Condor,1,3170.3043613838067,3170.3043613838067,25460.25064343417,0.12451976242430993,engine_exact_d+0,2000-11-02,S1_1contract
V1b_weekly_catchup,2000-10-16,Iron Condor (High Vol),1,3540.7694444096687,3540.7694444096687,53104.76558145867,0.06667517322863233,engine_exact_d+0,2000-11-20,S1_1contract
V1b_weekly_catchup,2000-10-23,Iron Condor (High Vol),1,-4900.580415013353,-4900.580415013353,25883.935699623325,-0.18932902908906035,bootstrap,2000-11-27,S1_1contract
V1b_weekly_catchup,2000-10-30,Iron Condor (High Vol),1,3780.692082988182,3780.692082988182,61280.80975330184,0.06169455165831056,bootstrap,2000-12-04,S1_1contract
V1b_weekly_catchup,2000-11-06,Iron Condor (High Vol),1,4300.071873513508,4300.071873513508,25766.05285428575,0.16688904186573006,bootstrap,2000-12-11,S1_1contract
