crisis,variant,n_trades_avg,cum_pnl_mean,cum_pnl_p5,cum_pnl_p95,worst_trade_mean
DotCom_2000_03,V3_S3,6.0,23712.250425790127,9789.447331153351,32963.124181059495,-7293.037617168727
DotCom_2000_03,BaselineB_S3,2.0,15446.576011046904,15446.57601104691,15446.57601104691,5714.19215157953
PreGFC_2007_07,V3_S3,4.0,35935.694255808674,25045.30107407062,44162.62185149371,4759.269202586923
PreGFC_2007_07,BaselineB_S3,1.0,6632.878383427496,6632.878383427496,6632.878383427496,6632.878383427496
Vol_2018_02,V3_S3,5.0,39832.02687836655,9549.735488708286,78074.30218089401,-7255.849141448816
Vol_2018_02,BaselineB_S3,2.0,25965.78223501439,15596.905717570704,32783.07394466883,7246.018098667873
COVID_2020_02,V3_S3,2.0,-15731.356892611464,-38815.96175790064,15952.8748330884,-20204.828290962607
Bear_2022_01,V3_S3,4.0,27084.730205072614,3125.193691326266,32285.754764008587,-3662.70938849502
Bear_2022_01,BaselineB_S3,1.0,10180.849537021824,10180.849537021822,10180.849537021822,10180.849537021824
