variant,mode,n_trades_avg,ann_pnl_pct_mean,ann_pnl_pct_p5,ann_pnl_pct_p95,worst_trade_mean
V3_S3,unstratified,558.7,17.027146221909,15.297250569905808,18.963167766840016,-38326.662045206744
V3_S3,stratified,559.55,16.16812486840012,14.443346803490927,18.571680278396563,-38326.662045206744
BaselineB_S3,unstratified,254.0,7.20947139737832,5.438048039937056,8.385115280219104,-38326.662045206744
BaselineB_S3,stratified,254.0,7.218748526455306,6.1604058892931945,8.165765497985195,-38326.662045206744
