variant,sizing,n_contracts,n_trades_avg,cum_pnl_mean,cum_pnl_std,cum_pnl_p5,cum_pnl_p95,ann_pnl_usd,ann_pnl_pct_nlv,worst_trade_mean,worst_trade_p5,worst_pct_nlv_mean,worst_pct_nlv_p5,hit_rate_avg,gate_worst_5pct_pass_mean,gate_worst_5pct_pass_p5
V1b_weekly_catchup,S1_1contract,1,816.0,1971623.177149938,131785.13861039255,1803236.672298038,2168146.6859871997,74695.0902866938,8.355155513052997,-12775.554015068916,-12775.554015068914,-1.4290328875916014,-1.4290328875916012,68.25980392156863,True,True
V1b_weekly_catchup,S2_4contracts_10pct_bp,4,816.0,7886492.708599752,527140.5544415702,7212946.689192152,8672586.743948799,298780.3611467752,33.42062205221199,-51102.21606027566,-51102.216060275656,-5.716131550366406,-5.716131550366405,68.25980392156863,False,False
V1b_weekly_catchup,S3_3contracts_7p5pct_bp,3,816.0,5914869.531449815,395355.41583117755,5409710.016894114,6504440.057961601,224085.27086008142,25.065466539158997,-38326.662045206744,-38326.662045206744,-4.287098662774803,-4.287098662774803,68.25980392156863,True,True
V3_daily_cluster,S1_1contract,1,917.0,2176350.272892873,138414.6256536542,2002280.39082757,2403242.5843876,82451.19149197405,9.22272835480694,-12775.554015068916,-12775.554015068914,-1.4290328875916014,-1.4290328875916012,69.00763358778627,True,True
V3_daily_cluster,S2_4contracts_10pct_bp,4,917.0,8705401.091571491,553658.5026146168,8009121.56331028,9612970.3375504,329804.7659678962,36.89091341922776,-51102.21606027566,-51102.216060275656,-5.716131550366406,-5.716131550366405,69.00763358778627,False,False
V3_daily_cluster,S3_3contracts_7p5pct_bp,3,917.0,6529050.818678619,415243.8769609625,6006841.172482711,7209727.753162801,247353.57447592219,27.668185064420825,-38326.662045206744,-38326.662045206744,-4.287098662774803,-4.287098662774803,69.00763358778627,True,True
BaselineB_cluster,S1_1contract,1,254.0,567089.4208118566,80231.93006560569,427751.1267242677,659564.3294221637,21484.22476418739,2.4031571324594396,-12775.554015068916,-12775.554015068914,-1.4290328875916014,-1.4290328875916012,68.26771653543308,True,True
BaselineB_cluster,S2_4contracts_10pct_bp,4,254.0,2268357.6832474265,320927.72026242275,1711004.506897071,2638257.3176886546,85936.89905674956,9.612628529837759,-51102.21606027566,-51102.216060275656,-5.716131550366406,-5.716131550366405,68.26771653543308,False,False
BaselineB_cluster,S3_3contracts_7p5pct_bp,3,254.0,1701268.26243557,240695.79019681702,1283253.380172803,1978692.988266491,64452.67429256217,7.209471397378319,-38326.662045206744,-38326.662045206744,-4.287098662774803,-4.287098662774803,68.26771653543308,True,True
