name,n_days,ann_roe_pct,max_dd_pct,w20d_pct,w63d_pct,sharpe,final_eq_M,seed,delta_roe_pp,delta_max_dd_pp,delta_w20d_pp,delta_w63d_pp,delta_sharpe,bp_mean_pct
V1b_combined_seed0,6632,10.034494796977134,-5.353437318450382,-4.212084343413809,-5.375800136282545,3.2300291011270588,11.073157595649874,0,1.8202058278308453,3.3615349544032718,2.8299810337671145,3.2804718705466476,1.2146089425920965,8.277170374287692
V1b_combined_seed1,6632,10.017419588631803,-6.930565357233115,-4.288213116111737,-6.673971512168587,3.1887927027311735,11.028024021417304,1,1.8031306194855148,1.784406915620539,2.753852261069187,1.9823004946606053,1.1733725441962113,8.208073081226837
V1b_combined_seed2,6632,9.804100328389476,-9.17138021001182,-6.856634172925394,-6.052151689484883,3.032463128026452,10.478878513386107,2,1.5898113592431873,-0.45640793715816663,0.18543120425553017,2.60412031734431,1.0170429694914898,8.19050590059327
V1b_combined_seed3,6632,9.800951529757462,-5.890968459304028,-4.331833488292986,-2.7529713235387114,3.209317810905243,10.470973047519427,3,1.586662560611174,2.824003813549626,2.7102318888879378,5.903300683290482,1.1938976523702807,8.174912265141662
V1b_combined_seed4,6632,10.03159349738192,-7.208778335963453,-5.608339083842985,-5.511171081382399,3.144524888195637,11.065476304418452,4,1.8173045282356313,1.5061939368902006,1.4337262933379389,3.145100925446794,1.1291047296606749,8.26033912666509
V1b_combined_seed5,6632,9.958378799502166,-7.252295744424389,-5.787841675036308,-5.807178231200305,2.97826100504181,10.873325949662744,5,1.7440898303558772,1.4626765284292649,1.2542237021446159,2.849093775628888,0.9628408465068476,8.158593138160317
V1b_combined_seed6,6632,9.836915394554357,-4.991172645560542,-3.8296009474988235,-4.6385143262966695,3.1279564260266053,10.56160743223292,6,1.6226264254080682,3.723799627293112,3.2124644296821003,4.017757680532523,1.112536267491643,8.272502083887852
V1b_combined_seed7,6632,9.989301783459359,-6.91500113984405,-4.373596300398377,-5.303534145769031,3.1072302722941654,10.954087804964567,7,1.7750128143130706,1.7999711330096035,2.6684690767825465,3.352737861060162,1.0918101137592031,8.223365218207645
V1b_combined_seed8,6632,9.92473392616775,-11.567362446271842,-10.029689270925731,-7.76641035229927,3.021690065630138,10.78610602306554,8,1.710444957021462,-2.852390173418188,-2.987623893744807,0.8898616545299225,1.006269907095176,8.216692247535404
V1b_combined_seed9,6632,10.028559291090321,-6.567650643913349,-5.054800906459196,-5.299246495745115,3.3855013920251236,11.057448621730607,9,1.8142703219440328,2.147321628940305,1.987264470721728,3.3570255110840774,1.3700812334901613,8.281179033542355
V1b_combined_seed10,6632,10.109791045175465,-5.175842591477836,-4.579792550969041,-3.958565252397128,3.311890642684472,11.274310594682696,10,1.8955020760291763,3.539129681375818,2.4622728262118825,4.6977067544320645,1.2964704841495096,8.309648373916469
V1b_combined_seed11,6632,9.671153878789873,-6.47848525860564,-4.982676629372923,-5.231033153896885,3.023090587151124,10.150045806582648,11,1.4568649096435848,2.2364870142480138,2.0593887478080006,3.425238852932308,1.0076704286161617,8.273964561102938
V1b_combined_seed12,6632,9.9303301905175,-8.975138149833697,-7.609651473668312,-5.088271733918716,3.073482235725833,10.800566791390624,12,1.7160412213712117,-0.260165876980043,-0.5675860964873882,3.568000272910477,1.0580620771908706,8.255924510163624
V1b_combined_seed13,6632,10.120398396203289,-6.437921481730065,-4.798816619141697,-4.886540039191551,3.322775313831494,11.30292895017779,13,1.9061094270570003,2.277050791123589,2.2432487580392264,3.7697319676376413,1.307355155296532,8.240520693108271
V1b_combined_seed14,6632,9.935277315380198,-5.354973525763724,-3.5070211631587314,-5.4658462670871835,3.1849270301783603,10.81336571033466,14,1.7209883462339093,3.3599987470899295,3.5350442140221925,3.1904257397420093,1.169506871643398,8.302818045204562
V1b_combined_seed15,6632,10.128034741847847,-5.474134859432995,-3.686289734616165,-4.263740052650809,3.2726368912113912,11.323574861596777,15,1.9137457727015583,3.2408374134206586,3.3557756425647587,4.392531954178383,1.257216732676429,8.214396898378082
V1b_combined_seed16,6632,9.839046341760781,-7.385895635045997,-4.794274665663107,-7.073459315463331,3.126347402113121,10.56700135871987,16,1.6247573726144928,1.329076637807657,2.2477907115178173,1.582812691365862,1.1109272435781588,8.256526284407379
V1b_combined_seed17,6632,9.814842119013779,-9.670531207413944,-7.641362764494774,-6.184549582606922,3.1180573995291714,10.50589039360727,17,1.6005531498674905,-0.9555589345602904,-0.5992973873138503,2.4717224242222704,1.1026372409942091,8.2509696524418
V1b_combined_seed18,6632,9.984947379342323,-7.153172499519076,-5.685105086444163,-5.024618149627341,3.257027193606897,10.942680557853155,18,1.7706584101960345,1.5617997733345774,1.3569602907367608,3.6316538572018517,1.2416070350719348,8.209614802033071
V1b_combined_seed19,6632,10.179571652594577,-5.4954407972398345,-5.455909269991851,-5.407130371016398,3.2374625490712807,11.463863628364068,19,1.9652826834482884,3.2195314756138194,1.5861561071890726,3.249141635812795,1.2220423905363185,8.130003453490477
