variant,ann_pnl_pct,delta_roe_pp,w20d_delta_mean_pp,w20d_delta_p5_pp,w63d_delta_mean_pp,w63d_delta_p5_pp,max_dd_pct,worst_pct_nlv,eff_count_mean,gate_v1_pass,gate_v2_pass,gate_v3_pass,gate_w20_deg_mean_pass,gate_w20_deg_p5_pass,gate_w63_deg_mean_pass,gate_w63_deg_p5_pass,gate_worst_5pct_pass,verdict_mean
V1b_weekly_catchup,15.213879540782168,8.004408143403847,-0.12821438699305965,-1.1673997155127935,0.24099386468769657,-3.610987359182703,-4.901287399692672,-4.287098662774804,1.0455936813764446,True,True,True,True,False,True,False,True,STRONG PROMOTE
V3_daily_cluster,17.027146221909,9.81767482453068,0.0751881099084164,-0.1900043784311194,-0.06373633171775817,-3.1354676448850025,-4.953775142782788,-4.287098662774804,1.0543139227983689,True,True,True,True,True,True,False,True,STRONG PROMOTE
