variant,entry_date,exit_date,strategy,pnl,max_loss,n_contracts,pnl_source
V1b_weekly_catchup,2001-01-29,2001-02-12,Iron Condor (High Vol),13267.365383750737,199549.79040783926,3,bootstrap
V1b_weekly_catchup,2001-02-05,2001-02-19,Bull Put Spread (High Vol),1811.579970299143,81837.83070361262,3,bootstrap
V1b_weekly_catchup,2001-02-20,2001-03-06,Bear Call Spread (High Vol),9851.120588678445,95681.70655020946,3,bootstrap
V1b_weekly_catchup,2001-03-06,2001-03-20,Iron Condor (High Vol),-14029.21951125794,91886.92319977461,3,engine_d+0
V1b_weekly_catchup,2001-03-26,2001-04-09,Iron Condor (High Vol),11304.352482451859,165154.9284061102,3,bootstrap
V1b_weekly_catchup,2001-04-10,2001-04-24,Iron Condor (High Vol),13183.115765392562,79490.10520494539,3,bootstrap
V1b_weekly_catchup,2001-04-16,2001-04-30,Bear Call Spread (High Vol),8737.292200697806,91594.37607355921,3,bootstrap
V1b_weekly_catchup,2001-04-23,2001-05-07,Iron Condor (High Vol),12606.23312035705,169152.25128977894,3,bootstrap
V1b_weekly_catchup,2001-04-30,2001-05-14,Iron Condor (High Vol),9311.969031796063,136919.74417061853,3,bootstrap
V1b_weekly_catchup,2001-05-07,2001-05-21,Iron Condor (High Vol),14896.891621059738,92717.71395430871,3,bootstrap
V1b_weekly_catchup,2001-05-14,2001-05-28,Iron Condor (High Vol),15518.397886585737,91061.1384999825,3,bootstrap
V1b_weekly_catchup,2001-05-23,2001-06-06,Bull Put Spread (High Vol),-6557.186365579338,63245.256564979776,3,engine_d+0
V1b_weekly_catchup,2001-05-29,2001-06-12,Iron Condor (High Vol),13261.849918414959,76346.73955245194,3,engine_d+0
V1b_weekly_catchup,2001-07-09,2001-07-23,Bear Call Spread (High Vol),9322.47672199993,90812.4807263227,3,engine_d+0
V1b_weekly_catchup,2001-07-18,2001-08-01,Bear Call Spread (High Vol),-232.69496647809007,97261.64514494708,3,bootstrap
V1b_weekly_catchup,2001-07-30,2001-08-13,Bear Call Spread (High Vol),9322.47672199993,90812.4807263227,3,bootstrap
V1b_weekly_catchup,2001-08-08,2001-08-22,Bear Call Spread (High Vol),7806.4722328913795,90262.68448831097,3,engine_d+0
V1b_weekly_catchup,2001-08-28,2001-09-11,Bear Call Spread (High Vol),7844.99977294235,88717.1367379461,3,engine_d+0
