variant,n,total_k,wr_pct,worst_k,cvar10_k,per_bp_kday,med_hold_dte,bp_days_k,pt_fired,worst21_k,worst63_k
INC,64,132.7,83,-9.4,-4.8,9.51,9,13953,12,-9.4,-9.7
A,67,116.4,82,-9.4,-5.9,8.614,9,13508,28,-14.8,-14.8
B,59,156.6,86,-5.4,-3.4,9.097,12,17216,34,-5.4,-5.4
C,61,132.4,85,-14.5,-5.7,7.866,13,16838,40,-21.9,-21.9
