variant,block_days,block_%,flips,flip_rate_%,flip_flop_5TD,flip_flop_%
V0_raw,2103,43.2,359,7.37,219,61.0
V1_sma3,2066,42.4,183,3.76,67,36.6
V2_sma5,2069,42.5,155,3.18,42,27.1
V3_sma10,2056,42.2,104,2.14,11,10.6
V4_ewm_a0.3,2073,42.6,151,3.1,50,33.1
V5_ewm_a0.1,2004,41.1,81,1.66,14,17.3
