variant,bps_n,wr_%,total,avg,worst,all_total,all_ann,oos_total,oos_worst,recent2y_total,recent2y_worst
V0_baseline,36,80.6,81581,2266,-9379,522733,27009,54889,-9379,24520,-9379
M1_lvl_slope,48,72.9,74762,1557,-12021,516919,26708,41796,-12021,20934,-12021
M2_avg_slope,53,73.6,74902,1413,-15119,516307,26677,45452,-10408,22107,-9379
M3_lvl_vix5d_1.0,50,72.0,67021,1340,-15119,509491,26325,41796,-12021,20934,-12021
M4_lvl_vix5d_1.5,50,72.0,69322,1386,-15119,512272,26468,41796,-12021,20934,-12021
