,spx_pnl,hv_pnl,q42a_pnl
spx_pnl,1.0,0.28451238767940085,0.013845814639796498
hv_pnl,0.28451238767940085,1.0,0.0033802190630440065
q42a_pnl,0.013845814639796498,0.0033802190630440065,1.0
