,spx_pnl,hv_pnl,q42a_pnl
spx_pnl,1.0,0.2845123876794003,0.017112992753177667
hv_pnl,0.2845123876794003,1.0,0.002139821443156456
q42a_pnl,0.017112992753177667,0.002139821443156456,1.0
