date,spx_pnl,hv_pnl,q42a_pnl,cash_pnl,total_pnl,cum_pnl,equity
2000-01-03,0.0,0.0,0.0,38.13690476190476,38.13690476190476,38.13690476190476,894038.1369047619
2000-01-04,0.0,-1988.7053568251702,0.0,38.13690476190476,-1950.5684520632653,-1912.4315473013605,892087.5684526986
2000-01-05,0.0,271.1291124741024,0.0,38.13690476190476,309.26601723600714,-1603.1655300653533,892396.8344699347
2000-01-06,0.0,239.60946107470136,0.0,38.13690476190476,277.7463658366061,-1325.4191642287471,892674.5808357713
2000-01-07,0.0,1787.3432232214498,0.0,38.13690476190476,1825.4801279833546,500.0609637546074,894500.0609637547
2000-01-10,0.0,323.9755114187403,0.0,38.13690476190476,362.1124161806451,862.1733799352526,894862.1733799352
2000-01-11,0.0,-440.22150741466817,0.0,38.13690476190476,-402.0846026527634,460.08877728248916,894460.0887772825
2000-01-12,-1258.2108287370222,-309.0376917014055,0.0,38.13690476190476,-1529.111615676523,-1069.0228383940337,892930.977161606
2000-01-13,4597.066758487602,1123.511788317984,0.0,38.13690476190476,5758.71545156749,4689.692613173456,898689.6926131735
2000-01-14,4618.962794302852,1063.6221711960188,0.0,38.13690476190476,5720.721870260775,10410.414483434231,904410.4144834343
2000-01-18,-2936.118464268716,-695.1747147107142,0.0,38.13690476190476,-3593.1562742175256,6817.258209216706,900817.2582092168
2000-01-19,207.84905117270227,26.32803750488506,0.0,38.13690476190476,272.3139934394921,7089.572202656198,901089.5722026562
2000-01-20,-1362.591133078009,-273.13583939632906,0.0,38.13690476190476,-1597.5900677124334,5491.982134943764,899491.9821349437
2000-01-21,569.6276001204869,193.89099401487613,0.0,38.13690476190476,801.6554988972678,6293.637633841032,900293.637633841
2000-01-24,-11563.510692357682,-2806.117956505298,0.0,38.13690476190476,-14331.491744101077,-8037.854110260045,885962.14588974
2000-01-25,3438.7577933065268,942.761184107718,0.0,38.13690476190476,4419.655882176149,-3618.1982280838956,890381.8017719161
2000-01-26,-1132.3613377299507,-221.23834918368743,0.0,38.13690476190476,-1315.4627821517333,-4933.661010235629,889066.3389897643
