window,start,end,days,spx_pnl,hv_pnl,q42a_pnl,total_pnl,pct_nlv,worst_day,worst_20d
GFC_2008_full,2008-01-01,2009-06-30,377,-33339.0,13070.0,0.0,-20269.0,-2.27,-66311.0,-123311.0
GFC_2008_acute,2008-08-01,2009-03-31,167,-93170.0,-3951.0,0.0,-97121.0,-10.86,-66311.0,-123311.0
COVID_2020,2020-02-15,2020-05-31,72,8958.0,15482.0,-4046.0,20394.0,2.28,-22203.0,-55422.0
Bear_2022,2022-01-01,2022-12-31,251,49621.0,-43651.0,-63.0,5907.0,0.66,-46566.0,-129138.0
Vol_2018Q4,2018-10-01,2018-12-31,63,-23056.0,0.0,-3217.0,-26273.0,-2.94,-27368.0,-41809.0
