window,start,end,days,spx_pnl,hv_pnl,q42a_pnl,cash_pnl,total_pnl,eq_start,window_pct_of_then_equity,worst_dd_in_window_pct
DotCom_2000_2002,2000-03-01,2002-10-31,671,264134.0,-10002.0,0.0,25590.0,279722.0,885954.0,31.57,-14.03
GFC_2008_full,2008-01-01,2009-06-30,377,-20003.0,13070.0,0.0,14378.0,7444.0,1950091.0,0.38,-4.19
GFC_2008_acute,2008-08-01,2009-03-31,167,-55902.0,-3951.0,0.0,6369.0,-53484.0,1946324.0,-2.75,-4.08
Flash_2010,2010-04-23,2010-07-31,69,51756.0,-5828.0,0.0,2631.0,48560.0,2074298.0,2.34,-1.06
Aug_2011,2011-07-15,2011-10-31,76,-23557.0,3853.0,0.0,2898.0,-16806.0,2206493.0,-0.76,-4.02
Vol_2015Aug,2015-08-15,2015-10-15,43,14119.0,0.0,-8940.0,1640.0,6818.0,3110990.0,0.22,-3.04
Vol_2018Q4,2018-10-01,2018-12-31,63,-13834.0,0.0,-8940.0,2403.0,-20371.0,4028451.0,-0.51,-0.92
COVID_2020,2020-02-15,2020-05-31,72,5375.0,15482.0,-8940.0,2746.0,14663.0,4465626.0,0.33,-1.09
Bear_2022,2022-01-01,2022-12-31,251,29773.0,-43651.0,295.0,9572.0,-4011.0,5078065.0,-0.08,-2.22
