variant,delta_roe_mean_pp,delta_roe_std_pp,p5_pp,p95_pp,p_droe_positive_pct,n_seeds,block
B4_F,0.013537643272847344,0.0061704302957518884,0.008323096293084697,0.023459434600532354,100.0,20,250
B4_F2,0.00948609896769037,0.0066075163295746505,0.0005224930230784963,0.019280755828612335,100.0,20,250
