gate,added_pass_days,added_pct_of_total,added_p_stress_10d,added_p_stress_20d,current_baseline_p_stress_10d,vs_baseline_lift_10d
B: IVP252<55 OR VIX<16,416,11.419160032939885,0.20673076923076922,0.30288461538461536,0.17710508002783576,0.02962568920293346
C: IVP252<55 OR VIX<18,593,16.277793027724403,0.2673434856175973,0.4033898305084746,0.17710508002783576,0.09023840558976154
D: IVP63<55,243,6.670326653856712,0.226890756302521,0.36086956521739133,0.17710508002783576,0.04978567627468525
E: IVP63<55 OR VIX<16,507,13.917101290145483,0.23904382470119523,0.3582995951417004,0.17710508002783576,0.06193874467335947
