year,n_normal,block_pct,blocked_p_stress_10d,passed_p_stress_10d,lift_pp,avg_blocked_vix,avg_year_vix
2004,193,1.5544041450777202,33.33333333333333,23.157894736842106,10.175438596491226,16.323333740234375,14.815803137467933
2005,193,10.362694300518134,15.0,17.91907514450867,-2.9190751445086702,13.612500047683715,12.199015553133476
2006,196,18.367346938775512,11.11111111111111,3.75,7.36111111111111,13.472499979866875,11.853214273647387
2007,154,72.72727272727273,25.0,23.809523809523807,1.1904761904761918,15.4133928162711,14.198181790190858
2011,109,5.5045871559633035,100.0,35.92233009708738,64.07766990291262,20.52499993642171,17.452110028048175
2013,234,19.65811965811966,41.30434782608695,5.851063829787234,35.453283996299724,16.35130436524101,13.982008546845526
2014,227,37.44493392070485,31.76470588235294,7.746478873239436,24.018227009113502,15.38964713601505,13.591585923921695
2015,185,48.64864864864865,34.44444444444444,17.894736842105264,16.549707602339183,16.400555589463977,14.832756769334948
2016,194,11.34020618556701,59.09090909090909,4.069767441860465,55.02114164904863,18.002727248451926,14.054329891794735
2017,251,11.952191235059761,0.0,0.0,0.0,13.533000055948893,11.0902390499039
2018,129,66.66666666666666,17.441860465116278,13.953488372093023,3.4883720930232567,13.587209313414817,12.910852742749592
2019,190,13.684210526315791,57.692307692307686,12.804878048780488,44.8874296435272,16.99153841458834,14.273315755944504
2020,43,34.883720930232556,40.0,42.857142857142854,-2.8571428571428523,16.167999903361004,15.660465151764626
2021,175,2.857142857142857,100.0,32.35294117647059,67.64705882352942,21.183999633789064,17.927085718427385
2022,25,20.0,100.0,95.0,5.000000000000004,19.647999954223632,19.60280014038086
2024,212,39.62264150943396,60.71428571428571,13.28125,47.43303571428571,17.00880946431841,14.795377339956895
2025,176,30.113636363636363,49.056603773584904,10.569105691056912,38.48749808252799,18.395849173923708,16.709943251176313
2026,56,58.92857142857143,30.303030303030305,0.0,30.303030303030305,19.200303164395418,17.893928612981522
