gate,pass_rate_pct,passed_p_stress_10d,passed_p_stress_20d,blocked_p_stress_10d,blocked_p_stress_20d,n_blocked
A: IVP_252<55 (current),79.10817506193229,0.17710508002783576,0.3360027855153203,0.35177865612648224,0.49267643142476697,759
F: IVP_252<55 OR VIX<15,87.06303330580786,0.17198861840025292,0.322999050933249,0.49361702127659574,0.6796536796536796,470
F2: IVP_252<55 OR VIX<14,83.75997797963116,0.17186986526454157,0.32587964485366655,0.4288135593220339,0.5910652920962199,590
G: IVP_1260<55 (5y window),75.6674924304982,0.16951618770461988,0.3067395264116576,0.3506787330316742,0.5615034168564921,884
H: IVP_252<55 OR IVP_1260<30,85.9344894026975,0.1825752722613709,0.3387820512820513,0.40313111545988256,0.5526838966202783,511
