year,n_normal,A: IVP252<55 (current) pass%,B: IVP252<55 OR VIX<16 pass%,C: IVP252<55 OR VIX<18 pass%,D: IVP63<55 pass%,E: IVP63<55 OR VIX<16 pass%
2007,154,27.27272727272727,74.02597402597402,85.06493506493507,51.94805194805194,92.20779220779221
2017,251,88.04780876494024,99.60159362549801,100.0,65.73705179282868,99.60159362549801
2018,129,33.33333333333333,93.7984496124031,100.0,66.66666666666666,94.57364341085271
2024,212,60.37735849056604,76.41509433962264,87.73584905660378,54.71698113207547,82.0754716981132
2025,176,69.88636363636364,72.72727272727273,82.38636363636364,70.45454545454545,70.45454545454545
2026,66,42.42424242424242,42.42424242424242,54.54545454545454,66.66666666666666,66.66666666666666
