gate,pass_rate_pct,passed_p_stress_10d,passed_p_stress_20d,blocked_p_stress_10d,blocked_p_stress_20d,n_blocked
A: IVP252<55 (current),79.0282734010431,0.17710508002783576,0.3360027855153203,0.35177865612648224,0.49267643142476697,764
B: IVP252<55 OR VIX<16,90.44743343398298,0.18085106382978725,0.33181265206812655,0.5276967930029155,0.7283582089552239,348
C: IVP252<55 OR VIX<18,95.3060664287675,0.1924963924963925,0.34748700173310226,0.6488095238095238,0.8198757763975155,171
D: IVP63<55,72.60499588251442,0.1635673624288425,0.3219047619047619,0.3456913827655311,0.4909819639278557,998
E: IVP63<55 OR VIX<16,88.33379083173209,0.16988778054862844,0.31957473420888055,0.5435294117647059,0.7364705882352941,425
