candidate,booster_cap_pct,booster_active_days,booster_active_pct,net_ann_roe_pct,max_dd_pct,worst_20d_pct,worst_63d_pct,sharpe,v1_pass,v2_pass,v3_pass,all_vetoes_pass,floor_8_pass,final_equity_M
B0_baseline_arch3,80.0,0,0.0,7.948969288589591,-8.714972272853654,-7.042065377180924,-8.656272006829193,1.9692644298316673,True,True,True,True,False,6.692125456262187
B1_strict_85,85.0,1148,17.310012062726177,8.06112884262351,-8.714972272853654,-7.042065377180924,-8.656272006829193,1.9910640205189905,True,True,True,True,True,6.877541968911314
B2_moderate_85,85.0,1331,20.069360675512666,8.076702465931085,-8.714972272853654,-7.042065377180924,-8.656272006829193,1.9929714910137681,True,True,True,True,True,6.903675007137694
B3_strict_90,90.0,1148,17.310012062726177,8.170416393470624,-8.714972272853654,-7.042065377180924,-8.656272006829193,2.0116847758105862,True,True,True,True,True,7.0629584815605195
B4_moderate_90,90.0,1331,20.069360675512666,8.200724349118893,-8.714972272853654,-7.042065377180924,-8.656272006829193,2.015228267946487,True,True,True,True,True,7.1152245580132885
