vix_bucket,n_days,cum_extra_pnl_usd,avg_extra_pnl_per_day_usd,hit_rate_pct
<13,40,12749.62955507989,318.7407388769972,65.0
13-14,38,5527.606064561471,145.46331748845975,44.73684210526316
14-15,61,5235.297293019165,85.82454578719943,49.18032786885246
