vix_bucket,n,p_stress_10d,p_stress_20d,avg_ivp,lift_vs_passed_pp
1_<13,76,0.07894736842105263,0.14473684210526316,61.134409729503034,-9.815771160678313
2_13-15,213,0.13615023474178403,0.2112676056338028,67.36621588762321,-4.095484528605173
3_15-17,233,0.38626609442060084,0.5665236051502146,72.56809671186498,20.916101439276506
4_17-19,128,0.484375,0.7459016393442623,76.40375996015936,30.726991997216423
5_19-22,109,0.7339449541284404,0.8504672897196262,78.95025402975254,55.68398741006047
