year,n_normal,A_current,F_vix15,F2_vix14,G_ivp1260,H_combo
2007,154,27.27272727272727,66.23376623376623,57.14285714285714,68.83116883116884,34.41558441558442
2017,251,88.04780876494024,97.21115537848605,94.02390438247012,96.81274900398407,93.22709163346613
2018,129,33.33333333333333,89.92248062015504,79.84496124031007,79.84496124031007,47.286821705426355
2024,212,60.37735849056604,66.98113207547169,60.37735849056604,98.11320754716981,79.24528301886792
2025,176,69.88636363636364,69.88636363636364,69.88636363636364,93.75,76.70454545454545
2026,56,41.07142857142857,41.07142857142857,41.07142857142857,58.92857142857143,41.07142857142857
