candidate,booster_cap,booster_active_days,booster_active_pct,cumulative_incremental_usd,ann_incremental_pct_nlv,delta_net_roe_pp,delta_worst_20d_pp,delta_worst_63d_pp,delta_max_dd_pp,delta_sharpe
B1_strict_85,85.0,1148,17.310012062726177,185416.51264917883,0.7880738428349746,0.1121595540339193,0.0,0.0,0.0,0.021799590687323178
B2_moderate_85,85.0,1331,20.069360675512666,211549.5508755673,0.8991468188378725,0.1277331773414936,0.0,0.0,0.0,0.023707061182100864
B3_strict_90,90.0,1148,17.310012062726177,370833.02529835777,1.5761476856699497,0.22144710488103403,0.0,0.0,0.0,0.04242034597891897
B4_moderate_90,90.0,1331,20.069360675512666,423099.10175113473,1.7982936376757452,0.25175506052930174,0.0,0.0,0.0,0.04596383811481952
