bucket_ddath,n_days,avg_fwd_20d,median_fwd_20d,worst_fwd_20d,hit_rate,avg_fwd_63d,worst_fwd_63d,p_stress_10d,p_stress_20d,avg_fwd_20d_pct_nlv,worst_fwd_20d_pct_nlv
2_-3pct_to_0,1950,22457.118723407963,21147.771373949086,-109684.15020213288,0.7041025641025641,71055.4186930889,-121015.04263662557,0.19230769230769232,0.3507692307692308,2.5119819601127475,-12.268920604265423
3_-6pct_to_-3pct,276,24587.258474919203,23642.969703027018,-72609.79439078168,0.7427536231884058,81713.3422674696,-109607.62793785444,0.2210144927536232,0.30434782608695654,2.7502526258298885,-8.121900938566183
4_below_-6pct,1397,12324.881553553985,5552.306291427472,-119304.424804342,0.5669291338582677,39191.10654638883,-112097.73637530807,0.24337866857551896,0.4058697208303508,1.3786220977129737,-13.345013960217225
