bucket_vix,n_days,avg_fwd_20d,median_fwd_20d,worst_fwd_20d,hit_rate,avg_fwd_63d,worst_fwd_63d,p_stress_10d,p_stress_20d,avg_fwd_20d_pct_nlv,worst_fwd_20d_pct_nlv
1_below_15,2013,24185.9615717911,24537.253618915005,-97972.33156773454,0.7357178340784898,71259.84288864274,-112097.73637530807,0.09985096870342772,0.2200695479384004,2.7053648290594072,-10.958873777151515
2_15_to_18,1015,10907.141009751667,2859.0945755099556,-119304.424804342,0.5310344827586206,47708.53348950588,-121015.04263662557,0.27586206896551724,0.4768472906403941,1.2200381442675243,-13.345013960217225
3_18_to_20,404,11003.847537216236,3669.1388136121723,-114566.37287593579,0.5420792079207921,35023.02102133273,-92634.14419870827,0.4504950495049505,0.6658415841584159,1.2308554292188183,-12.815030523035324
4_20_to_22,191,18809.849246541155,14253.568297543075,-105698.43593888896,0.6858638743455497,48999.17183912573,-82136.07395482938,0.5916230366492147,0.7277486910994765,2.1040099828345813,-11.823091268332098
