bucket_ivp,n_days,avg_fwd_20d,median_fwd_20d,worst_fwd_20d,hit_rate,avg_fwd_63d,worst_fwd_63d,p_stress_10d,p_stress_20d,avg_fwd_20d_pct_nlv,worst_fwd_20d_pct_nlv
1_below_30,2119,19295.11718795963,14351.738385517177,-119304.424804342,0.6366210476639924,58963.89155568928,-112097.73637530807,0.1562057574327513,0.31571495988673903,2.1582905131945895,-13.345013960217225
2_30_to_55,753,21045.9087304695,19396.285632783263,-119061.83858277218,0.699867197875166,67698.12048908406,-101434.2078419724,0.23638778220451528,0.3930942895086321,2.3541284933411073,-13.317879036104271
3_55_to_70,390,16005.453740777471,14031.21668401131,-114566.37287593579,0.6974358974358974,54748.02451352534,-121015.04263662557,0.2564102564102564,0.3769230769230769,1.7903192103777932,-12.815030523035324
4_above_70,361,13349.791761232538,9998.803566662962,-90119.52920940939,0.6149584487534626,50736.811012988044,-109607.62793785444,0.4626038781163435,0.6177285318559557,1.4932652976770175,-10.08048425161179
