candidate,n_days,ann_roe_pct,max_dd_pct,worst_20d_pct,worst_63d_pct,sharpe,v1_pass_dd28,v2_pass_w20d11,v3_pass_w63d17,floor_8_pass,booster_days,booster_pct_of_total,booster_pct_of_normal,final_equity_M
B0_baseline,6632,7.948969288589591,-8.714972272853654,-7.042065377180924,-8.656272006829193,1.9692644298316673,True,True,True,False,0,0.0,0.0,6.692125456262187
B4_current,6632,8.200724349118893,-8.714972272853654,-7.042065377180924,-8.656272006829193,2.015228267946487,True,True,True,True,1331,20.069360675512666,36.04115894936366,7.1152245580132885
B4_F,6632,8.214288969146288,-8.714972272853654,-7.042065377180924,-8.656272006829193,2.0154201585349623,True,True,True,True,1470,22.165259348612786,39.80503655564582,7.138737090925947
B4_F2,6632,8.211272396158131,-8.714972272853654,-7.042065377180924,-8.656272006829193,2.0158436228315666,True,True,True,True,1409,21.245476477683955,38.15326292986732,7.13350179363293
