strategy,underlying,entry_date,exit_date,entry_spx,exit_spx,entry_vix,entry_credit,exit_pnl,exit_reason,dte_at_entry,dte_at_exit,spread_width,option_premium,bp_per_contract,contracts,total_bp,bp_pct_account
Bear Call Spread (High Vol),SPX,2023-01-03,2023-02-07,3824.139892578125,4164.0,22.899999618530273,-22.734992111824226,-2166.832661567795,roll_21dte,45,21,183,2273.4992111824226,16026.500788817577,0.6552,10500.0,7.0
Iron Condor (High Vol),SPX,2023-02-21,2023-03-21,3997.340087890625,4002.8701171875,22.8700008392334,-14.440795185964703,2330.0648383306884,50pct_profit,45,25,50,1444.0795185964703,3555.9204814035297,2.9528,10500.0,7.0
Iron Condor (High Vol),SPX,2023-02-22,2023-03-24,3991.050048828125,3970.989990234375,22.290000915527344,-14.386836275059693,2217.6261509905903,50pct_profit,45,23,50,1438.6836275059693,3561.3163724940305,2.9483,10500.0,7.0
Bull Call Diagonal,SPX,2023-06-02,2023-07-10,4282.3701171875,4409.52978515625,14.600000381469727,200.96713758608644,4513.636347899856,roll_21dte,45,21,0.0,20096.713758608643,20096.713758608643,0.7464,15000.0,10.0
Bull Call Diagonal,SPX,2023-07-11,2023-08-14,4439.259765625,4489.72021484375,14.84000015258789,213.14093356751346,1829.7185161806094,roll_21dte,45,21,0.0,21314.093356751346,21314.093356751346,0.7038,15000.0,10.0
Bull Call Diagonal,SPX,2023-08-14,2023-08-17,4489.72021484375,4370.35986328125,14.819999694824219,213.70958653661387,-2390.980499580703,trend_flip,45,42,0.0,21370.958653661386,21370.958653661386,0.7019,15000.0,10.0
Bull Call Diagonal,SPX,2023-08-29,2023-09-15,4497.6298828125,4450.31982421875,14.449999809265137,211.04408998039048,-1746.6946776904347,trend_flip,45,33,0.0,21104.40899803905,21104.40899803905,0.7108,15000.0,10.0
Iron Condor,SPX,2023-10-04,2023-11-01,4263.75,4237.85986328125,18.579999923706055,-14.22576743404079,3319.3324275135533,50pct_profit,45,25,50,1422.576743404079,3577.423256595921,4.193,15000.0,10.0
Iron Condor,SPX,2023-11-03,2023-12-08,4358.33984375,4604.3701171875,14.90999984741211,-13.897209341088342,-244.79292404735932,roll_21dte,45,21,50,1389.7209341088342,3610.279065891166,4.1548,15000.0,10.0
Bull Call Diagonal,SPX,2023-11-08,2023-12-12,4382.77978515625,4643.7001953125,14.449999809265137,205.6472522259544,7644.0361664157135,50pct_profit,45,22,0.0,20564.72522259544,20564.72522259544,0.7294,15000.0,10.0
Bull Call Diagonal,SPX,2023-12-12,2024-01-18,4643.7001953125,4780.93994140625,12.069999694824219,183.39572675428371,5180.736209173609,roll_21dte,45,21,0.0,18339.57267542837,18339.57267542837,0.8179,15000.0,10.0
Bull Call Diagonal,SPX,2024-01-18,2024-02-22,4780.93994140625,5087.02978515625,14.130000114440918,218.92685009846832,7827.709934068657,50pct_profit,45,21,0.0,21892.68500984683,21892.68500984683,0.6852,15000.0,10.0
Bull Put Spread,SPX,2024-02-13,2024-02-27,4953.169921875,5078.18017578125,15.850000381469727,-31.988552371814876,3561.1767275798857,roll_21dte,30,21,136,3198.8552371814876,10401.144762818512,1.4421,15000.0,10.0
Bull Call Diagonal,SPX,2024-02-22,2024-03-27,5087.02978515625,5248.490234375,14.539999961853027,238.64073238757373,4704.766460253407,roll_21dte,45,21,0.0,23864.073238757373,23864.073238757373,0.6286,15000.0,10.0
Bull Call Diagonal,SPX,2024-03-27,2024-04-15,5248.490234375,5061.81982421875,12.779999732971191,219.14110612860418,-2544.7898996954223,trend_flip,45,33,0.0,21914.11061286042,21914.11061286042,0.6845,15000.0,10.0
Iron Condor,SPX,2024-04-12,2024-05-03,5123.41015625,5127.7900390625,17.309999465942383,-26.064571885946066,3658.5440926670644,50pct_profit,45,30,100,2606.4571885946066,7393.542811405394,2.0288,15000.0,10.0
Iron Condor,SPX,2024-05-03,2024-06-07,5127.7900390625,5346.990234375,13.489999771118164,-24.589648648362413,907.258877657536,roll_21dte,45,21,100,2458.9648648362413,7541.035135163758,1.9891,15000.0,10.0
Bull Call Diagonal,SPX,2024-05-06,2024-06-10,5180.740234375,5360.7900390625,13.489999771118164,226.6197660083567,5356.232629662622,roll_21dte,45,21,0.0,22661.976600835667,22661.976600835667,0.6619,15000.0,10.0
Bull Call Diagonal,SPX,2024-06-10,2024-07-16,5360.7900390625,5667.2001953125,12.739999771118164,222.43380392996505,7712.544151472237,50pct_profit,45,21,0.0,22243.380392996507,22243.380392996507,0.6744,15000.0,10.0
Bull Call Diagonal,SPX,2024-07-16,2024-08-02,5667.2001953125,5346.56005859375,13.1899995803833,242.70837690080566,-3248.0756238841827,trend_flip,45,32,0.0,24270.837690080567,24270.837690080567,0.618,15000.0,10.0
Iron Condor,SPX,2024-08-01,2024-08-15,5446.68017578125,5543.22021484375,18.59000015258789,-26.648035088017423,2728.6348134205423,50pct_profit,45,35,100,2664.8035088017423,7335.196491198258,2.0449,15000.0,10.0
Iron Condor (High Vol),SPX,2024-08-06,2024-08-20,5240.02978515625,5597.1201171875,27.709999084472656,-28.23238457751006,2356.7612954693273,50pct_profit,45,35,100,2823.238457751006,7176.761542248994,1.4631,10500.0,7.0
Iron Condor (High Vol),SPX,2024-08-07,2024-08-28,5199.5,5592.18017578125,27.850000381469727,-28.466513831724114,2101.813431608492,50pct_profit,45,30,100,2846.6513831724114,7153.348616827589,1.4678,10500.0,7.0
Bull Call Diagonal,SPX,2024-08-16,2024-09-06,5554.25,5408.419921875,14.800000190734863,264.0129887133644,-879.4992727109623,trend_flip,45,31,0.0,26401.29887133644,26401.29887133644,0.5682,15000.0,10.0
Iron Condor,SPX,2024-09-03,2024-09-20,5528.93017578125,5702.5498046875,20.719999313354492,-27.304409871130247,3071.0232832028582,50pct_profit,45,32,100,2730.4409871130247,7269.559012886975,2.0634,15000.0,10.0
Bull Call Diagonal,SPX,2024-11-08,2024-12-13,5995.5400390625,6051.08984375,14.9399995803833,288.4632669291425,1255.2287963969954,roll_21dte,45,21,0.0,28846.32669291425,28846.32669291425,0.52,15000.0,10.0
Bull Call Diagonal,SPX,2024-12-13,2024-12-18,6051.08984375,5872.16015625,13.8100004196167,270.18393041205036,661.9123239734248,trend_flip,45,42,0.0,27018.393041205036,27018.393041205036,0.5552,15000.0,10.0
Bull Call Diagonal,SPX,2024-12-24,2024-12-31,6040.0400390625,5881.6298828125,14.270000457763672,279.43252312401796,-2436.5132162731834,trend_flip,45,41,0.0,27943.252312401797,27943.252312401797,0.5368,15000.0,10.0
