view,era,n,pct_f3_day0,hit_3td_pct,hit_elig_3td_pct,med_wait_3td,hit_5td_pct,hit_elig_5td_pct,med_wait_5td,hit_10td_pct,hit_elig_10td_pct,med_wait_10td
all_days,full,1747,15.054378935317688,48.921832884097036,35.98382749326146,2.0,67.65498652291106,50.47169811320755,2.0,88.94878706199461,67.38544474393531,3.0
all_days,2000s,465,18.27956989247312,54.473684210526315,41.8421052631579,2.0,72.63157894736842,57.36842105263158,2.0,91.57894736842105,75.0,3.0
all_days,2010s,1015,12.9064039408867,44.57013574660634,31.334841628959275,2.0,63.348416289592755,45.36199095022624,3.0,86.65158371040724,62.33031674208145,3.0
all_days,2020-23,102,13.725490196078432,52.27272727272727,39.77272727272727,2.0,69.31818181818183,54.54545454545454,2.0,93.18181818181817,76.13636363636364,3.0
all_days,2024+,165,20.0,59.84848484848485,47.72727272727273,2.0,81.06060606060606,62.121212121212125,2.0,93.93939393939394,73.48484848484848,3.0
all_days,last24m,61,19.672131147540984,61.224489795918366,36.734693877551024,2.0,83.6734693877551,46.93877551020408,3.0,93.87755102040816,53.06122448979592,3.0
episode_start,full,167,4.191616766467066,44.375,15.0,2.0,60.62499999999999,23.125,3.0,82.5,37.5,3.0
episode_start,2000s,34,0.0,50.0,11.76470588235294,2.0,70.58823529411765,26.47058823529412,3.0,91.17647058823529,41.17647058823529,3.0
episode_start,2010s,101,5.9405940594059405,40.0,12.631578947368421,2.0,52.63157894736842,20.0,2.0,75.78947368421053,34.73684210526316,3.0
episode_start,2020-23,11,9.090909090909092,60.0,30.0,2.0,60.0,30.0,2.0,80.0,40.0,2.5
episode_start,2024+,21,0.0,47.61904761904761,23.809523809523807,2.0,80.95238095238095,28.57142857142857,3.0,100.0,42.857142857142854,4.0
episode_start,last24m,15,0.0,40.0,13.333333333333334,1.5,80.0,20.0,3.5,100.0,33.33333333333333,4.0
