signal,stratum,n_cond,n_strat,mean_diff_pp,p,is_diff_pp,oos_diff_pp,sign_consistent,p10_diff_pp,bh_pass,survive
F1_sma200,A_all,4674,6531,0.21483,0.41279,0.67708,-0.29841,False,1.74222,False,False
F1_sma200,B_norm_bull,1366,1497,0.32053,0.36582,0.49970,0.14058,True,0.90335,False,False
F1_sma50_200,A_all,4656,6531,0.25804,0.33983,0.59427,-0.16192,False,1.78045,False,False
F1_sma50_200,B_norm_bull,1192,1497,0.24474,0.50525,0.17583,0.31577,True,1.28961,False,False
F1_tsmom_12_1,A_all,4877,6531,0.21889,0.43378,0.54983,-0.18698,False,1.45694,False,False
F1_tsmom_12_1,B_norm_bull,1177,1497,0.15202,0.67516,0.13736,0.14438,True,0.71078,False,False
F1_tsmom_3m,A_all,4367,6531,-0.09324,0.68166,0.22113,-0.48986,False,1.17506,False,False
F1_tsmom_3m,B_norm_bull,1336,1497,-0.02707,0.94203,-0.01221,-0.03551,True,0.19919,False,False
F1_tsmom_6m,A_all,4577,6531,0.14088,0.61469,0.62536,-0.38374,False,1.56853,False,False
F1_tsmom_6m,B_norm_bull,1265,1497,0.21009,0.54023,0.27012,0.15663,True,0.88544,False,False
F1_donchian55,A_all,605,6531,-0.45418,0.34433,0.23632,-1.13172,False,2.09078,False,False
F1_donchian55,B_norm_bull,223,1497,-0.04655,0.94703,0.27194,-0.35216,False,1.04027,False,False
F1_adx25,A_all,2206,6531,0.73628,0.05897,0.99093,0.48685,True,1.42316,False,False
F1_adx25,B_norm_bull,409,1497,0.09612,0.87506,0.72938,-0.59044,False,1.09212,False,False
F1_macd_pos,A_all,3315,6531,-0.14115,0.38481,-0.01764,-0.26287,True,0.10938,False,False
F1_macd_pos,B_norm_bull,892,1497,-0.06693,0.80410,0.15158,-0.26838,False,-0.15128,False,False
F2_d63low_near,A_all,3284,6531,0.12488,0.72364,-0.17883,0.47749,False,-0.27990,False,False
F2_d63low_near,B_norm_bull,341,1497,-0.48364,0.31134,-0.59813,-0.35940,True,-0.82220,False,False
F2_d126low_near,A_all,3305,6531,0.04717,0.89355,-0.09990,0.38683,False,-1.09368,False,False
F2_d126low_near,B_norm_bull,329,1497,-0.25442,0.60970,-0.30028,-0.07270,True,-2.54199,False,False
F2_swing_near,A_all,3283,6531,0.08978,0.68116,-0.04445,0.26878,False,0.19760,False,False
F2_swing_near,B_norm_bull,428,1497,-0.24378,0.50575,-0.80660,0.21690,False,0.41301,False,False
F2_near52wh,A_all,2844,6531,-0.38958,0.29335,-0.15453,-0.79795,True,1.66475,False,False
F2_near52wh,B_norm_bull,959,1497,-0.04146,0.92804,-0.32432,0.13738,False,0.78829,False,False
F2_pmhigh_brk,A_all,2232,6531,-0.08668,0.79710,0.47682,-0.66650,False,2.10440,False,False
F2_pmhigh_brk,B_norm_bull,819,1497,0.33054,0.53373,0.34841,0.39800,True,0.99927,False,False
F2_gap_up,A_all,761,6531,0.35821,0.40530,0.12545,-0.15578,False,0.97258,False,False
F2_gap_up,B_norm_bull,218,1497,0.30266,0.56972,0.18410,0.01653,True,1.04328,False,False
