signal,stratum,endpoint,n_on,mean_diff_bp,p,sign_consistent
F3_z5_low,B_norm_bull,fwd21,52,-79.67563,0.09095,True
F4_engulf,A_all,fwd5,178,-25.12795,0.14393,True
F4_engulf,A_all,fwd21,178,-15.93102,0.63568,False
F4_engulf,B_norm_bull,fwd5,44,-56.11566,0.02949,True
F4_engulf,B_norm_bull,fwd21,44,-104.22085,0.09595,True
F4_hammer,A_all,fwd5,111,-0.73649,0.97951,False
F4_hammer,A_all,fwd21,110,-44.02209,0.37931,False
F4_hammer,B_norm_bull,fwd5,0,,,False
F4_hammer,B_norm_bull,fwd21,0,,,False
F4_rev3,A_all,fwd5,748,-6.06465,0.37731,True
F4_rev3,A_all,fwd21,746,0.01442,0.99900,False
F4_rev3,B_norm_bull,fwd5,154,-13.27056,0.24638,False
F4_rev3,B_norm_bull,fwd21,154,21.06857,0.36332,True
F5_vrp_rich,A_all,fwd5,3319,2.19543,0.71264,True
F5_vrp_rich,A_all,fwd21,3319,16.85776,0.35232,True
F5_vrp_rich,B_norm_bull,fwd5,906,10.49431,0.21039,True
F5_vrp_rich,B_norm_bull,fwd21,906,35.46418,0.19940,True
F5_atrp_low,A_all,fwd5,3345,-7.45501,0.19640,True
F5_atrp_low,A_all,fwd21,3343,-25.16773,0.25587,True
F5_atrp_low,B_norm_bull,fwd5,1049,4.33134,0.58971,True
F5_atrp_low,B_norm_bull,fwd21,1049,24.26807,0.50075,True
F5_vix5d_dn,A_all,fwd5,3497,-8.55931,0.05397,False
F5_vix5d_dn,A_all,fwd21,3497,-5.16354,0.57021,False
F5_vix5d_dn,B_norm_bull,fwd5,893,-12.96667,0.03548,True
F5_vix5d_dn,B_norm_bull,fwd21,893,-22.86072,0.14093,True
F5_skew_high,A_all,fwd5,3332,1.83500,0.70565,True
F5_skew_high,A_all,fwd21,3329,-5.92632,0.77461,False
F5_skew_high,B_norm_bull,fwd5,924,4.39534,0.59070,False
F5_skew_high,B_norm_bull,fwd21,924,8.86019,0.76512,False
F5_vixts_cont,A_all,fwd5,4442,-2.83864,0.55922,True
F5_vixts_cont,A_all,fwd21,4442,-8.76406,0.64368,True
F5_vixts_cont,B_norm_bull,fwd5,0,,,False
F5_vixts_cont,B_norm_bull,fwd21,0,,,False
F5_vvix_low,A_all,fwd5,2258,0.54480,0.95752,False
F5_vvix_low,A_all,fwd21,2246,2.53437,0.95002,False
F5_vvix_low,B_norm_bull,fwd5,634,4.41290,0.70365,True
F5_vvix_low,B_norm_bull,fwd21,634,34.59595,0.47576,True
F6_xlu_weak,A_all,fwd5,3458,-4.19344,0.43328,True
F6_xlu_weak,A_all,fwd21,3442,7.92172,0.70715,False
F6_xlu_weak,B_norm_bull,fwd5,974,-0.67305,0.93003,False
F6_xlu_weak,B_norm_bull,fwd21,974,35.92038,0.17891,True
F6_rsp_strong,A_all,fwd5,2891,3.02001,0.62119,False
