signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F5_skew_high,B_norm_bull,fwd31,924,-4.79687,-0.16885,0.95402,True,False,False
F5_vixts_cont,A_all,fwd31,4436,-133.22077,-3.51789,0.50075,True,False,False
F5_vixts_cont,B_norm_bull,fwd31,0,,,,False,False,False
F5_vvix_low,A_all,fwd31,2236,11.47071,0.71044,0.87956,False,False,False
F5_vvix_low,B_norm_bull,fwd31,628,119.03698,3.81745,0.19190,True,False,False
F6_xlu_weak,A_all,fwd31,3432,-7.03971,-0.50716,0.90005,False,False,False
F6_xlu_weak,B_norm_bull,fwd31,968,98.84084,3.23288,0.26737,True,False,False
F6_rsp_strong,A_all,fwd31,2891,88.89496,6.27223,0.11394,True,False,False
F6_rsp_strong,B_norm_bull,fwd31,737,129.79787,4.44955,0.21989,True,False,False
F6_tlt_up,A_all,fwd31,3212,32.26152,2.33250,0.54223,True,False,False
F6_tlt_up,B_norm_bull,fwd31,698,26.67656,0.96408,0.73013,False,False,False
F6_hyg_strong,A_all,fwd31,2978,37.06758,1.98939,0.65167,False,False,False
F6_hyg_strong,B_norm_bull,fwd31,809,-20.79870,-0.62705,0.86007,False,False,False
F6_dxy_dn,A_all,fwd31,3274,66.00763,4.80252,0.30235,True,False,False
F6_dxy_dn,B_norm_bull,fwd31,817,234.97583,8.64857,0.00550,True,False,False
F6_gld_up,A_all,fwd31,3359,50.82791,3.20718,0.48876,True,False,False
F6_gld_up,B_norm_bull,fwd31,815,10.69927,0.33213,0.93153,False,False,False
F7_tom,A_all,fwd31,2182,1.42493,0.09509,0.96302,False,False,False
F7_tom,B_norm_bull,fwd31,506,-34.21145,-1.12884,0.51024,True,False,False
F7_opex_wk,A_all,fwd31,1506,-3.72687,-0.23365,0.83608,False,False,False
F7_opex_wk,B_norm_bull,fwd31,341,35.03795,1.15905,0.40880,True,False,False
F7_halloween,A_all,fwd31,3209,27.77383,1.99349,0.45877,False,False,False
F7_halloween,B_norm_bull,fwd31,759,-70.94286,-2.61348,0.17291,False,False,False
F7_monday,A_all,fwd31,1226,10.57707,0.60025,0.15542,True,False,False
F7_monday,B_norm_bull,fwd31,286,1.65312,0.04902,0.95052,False,False,False
F10_spyvol_hi,A_all,fwd31,1109,14.85629,0.74949,0.57071,True,False,False
F10_spyvol_hi,B_norm_bull,fwd31,201,103.42482,3.01384,0.01499,True,False,False
