signal,stratum,endpoint,n_on,mean_diff_bp,t,p,sign_consistent,bh_pass,survive
F5_vvix_low,B_norm_bull,fwd1,634,5.39096,1.13138,0.25037,True,False,False
F6_xlu_weak,A_all,fwd1,3462,-1.89611,-0.63079,0.43078,True,False,False
F6_xlu_weak,B_norm_bull,fwd1,974,-3.64745,-0.82216,0.35032,False,False,False
F6_rsp_strong,A_all,fwd1,2891,2.46592,0.79608,0.26687,True,False,False
F6_rsp_strong,B_norm_bull,fwd1,737,3.44428,0.78141,0.42779,True,False,False
F6_tlt_up,A_all,fwd1,3231,3.45822,1.14302,0.20240,True,False,False
F6_tlt_up,B_norm_bull,fwd1,698,3.24031,0.74719,0.44528,True,False,False
F6_hyg_strong,A_all,fwd1,3008,-3.30852,-0.76779,0.35932,False,False,False
F6_hyg_strong,B_norm_bull,fwd1,815,-1.40377,-0.27938,0.78461,False,False,False
F6_dxy_dn,A_all,fwd1,3277,0.55866,0.18830,0.82809,True,False,False
F6_dxy_dn,B_norm_bull,fwd1,817,0.27711,0.06553,0.96002,False,False,False
F6_gld_up,A_all,fwd1,3359,1.86563,0.54478,0.49725,True,False,False
F6_gld_up,B_norm_bull,fwd1,815,-1.55250,-0.31065,0.77561,True,False,False
F7_tom,A_all,fwd1,2194,3.51381,1.12274,0.25737,True,False,False
F7_tom,B_norm_bull,fwd1,508,7.83699,1.73888,0.10595,True,False,False
F7_opex_wk,A_all,fwd1,1506,-3.36880,-0.96523,0.34683,True,False,False
F7_opex_wk,B_norm_bull,fwd1,341,-8.16805,-1.60819,0.13043,True,False,False
F7_halloween,A_all,fwd1,3209,2.22460,0.74553,0.14843,False,False,False
F7_halloween,B_norm_bull,fwd1,759,4.65222,1.10617,0.19340,False,False,False
F7_monday,A_all,fwd1,1231,5.68827,1.49195,0.13743,True,False,False
F7_monday,B_norm_bull,fwd1,286,-7.86507,-1.54877,0.09895,True,False,False
F10_spyvol_hi,A_all,fwd1,1115,0.88574,0.18204,0.84908,False,False,False
F10_spyvol_hi,B_norm_bull,fwd1,201,10.80982,1.52508,0.11944,False,False,False
F1_sma5_10,A_all,fwd5,3882,-15.70282,-2.38798,0.18791,True,False,False
F1_sma5_10,B_norm_bull,fwd5,1129,-5.26525,-0.47409,0.74763,False,False,False
F1_sma10_20,A_all,fwd5,4077,-10.25640,-1.48258,0.43928,False,False,False
F1_sma10_20,B_norm_bull,fwd5,1286,17.62053,1.20929,0.48126,True,False,False
F1_sma20_50,A_all,fwd5,4258,-11.73803,-1.60396,0.44378,True,False,False
F1_sma20_50,B_norm_bull,fwd5,1318,-29.72002,-2.50210,0.19640,True,False,False
F1_sma200,A_all,fwd5,4700,8.54034,0.97339,0.68466,False,False,False
F1_sma200,B_norm_bull,fwd5,1372,18.79442,0.91415,0.67666,False,False,False
F1_sma50_200,A_all,fwd5,4682,13.94327,1.70415,0.44778,False,False,False
F1_sma50_200,B_norm_bull,fwd5,1198,-11.05486,-0.90873,0.71164,False,False,False
F1_tsmom_12_1,A_all,fwd5,4903,16.75464,1.95691,0.45377,False,False,False
F1_tsmom_12_1,B_norm_bull,fwd5,1183,7.10170,0.60464,0.83858,True,False,False
F1_tsmom_3m,A_all,fwd5,4393,-3.16384,-0.40683,0.83208,False,False,False
F1_tsmom_3m,B_norm_bull,fwd5,1342,-2.82977,-0.17143,0.92504,False,False,False
F1_tsmom_6m,A_all,fwd5,4603,7.78387,0.93395,0.67816,False,False,False
F1_tsmom_6m,B_norm_bull,fwd5,1271,1.17113,0.08316,0.96902,False,False,False
F1_donchian55,A_all,fwd5,609,-20.90143,-3.29824,0.01449,True,False,False
F1_donchian55,B_norm_bull,fwd5,224,-13.72942,-1.34533,0.31734,True,False,False
F1_adx25,A_all,fwd5,2225,22.43368,3.17718,0.11294,True,False,False
F1_adx25,B_norm_bull,fwd5,415,23.55455,2.45790,0.18341,False,False,False
F1_macd_pos,A_all,fwd5,3315,-6.76813,-1.12065,0.55122,True,False,False
F1_macd_pos,B_norm_bull,fwd5,892,0.15233,0.01611,0.99150,False,False,False
F2_d63low_near,A_all,fwd5,3284,0.43758,0.07267,0.96502,False,False,False
F2_d63low_near,B_norm_bull,fwd5,341,-20.85889,-1.95958,0.29135,True,False,False
F2_d126low_near,A_all,fwd5,3305,0.50096,0.08336,0.96602,True,False,False
F2_d126low_near,B_norm_bull,fwd5,329,6.58540,0.59575,0.76862,True,False,False
F2_swing_near,A_all,fwd5,3300,-3.90692,-0.64965,0.69765,False,False,False
F2_swing_near,B_norm_bull,fwd5,429,-20.90695,-1.99340,0.22689,False,False,False
F2_near52wh,A_all,fwd5,2860,-14.62725,-2.60060,0.20540,True,False,False
F2_near52wh,B_norm_bull,fwd5,965,-18.94320,-1.93538,0.28586,True,False,False
F2_pmhigh_brk,A_all,fwd5,2242,-14.32272,-2.68150,0.13643,True,False,False
F2_pmhigh_brk,B_norm_bull,fwd5,825,-2.87879,-0.31233,0.86007,False,False,False
F2_gap_up,A_all,fwd5,765,16.81288,2.13237,0.06697,True,False,False
F2_gap_up,B_norm_bull,fwd5,220,18.54667,1.57060,0.14493,True,False,False
F3_rsi2_os,A_all,fwd5,666,48.71471,3.91474,0.00350,True,True,True
F3_rsi2_os,B_norm_bull,fwd5,71,60.58127,3.10613,0.01849,True,False,False
F3_rsi14_os,A_all,fwd5,126,115.11420,3.01377,0.04148,True,False,False
F3_rsi14_os,B_norm_bull,fwd5,0,,,,False,False,False
F3_ibs_low,A_all,fwd5,1374,29.74227,3.59578,0.00050,True,True,True
F3_ibs_low,B_norm_bull,fwd5,217,36.67788,3.02501,0.00350,True,True,True
F3_pctb_low,A_all,fwd5,332,65.17879,3.56721,0.00900,True,False,False
F3_pctb_low,B_norm_bull,fwd5,0,,,,False,False,False
F3_down3,A_all,fwd5,558,44.62449,3.41556,0.01000,True,False,False
F3_down3,B_norm_bull,fwd5,74,74.05899,3.88769,0.00350,True,True,True
F3_z5_low,A_all,fwd5,912,32.21207,2.64653,0.09745,True,False,False
F3_z5_low,B_norm_bull,fwd5,52,31.04548,1.09328,0.43428,True,False,False
F4_engulf,A_all,fwd5,178,-25.82912,-1.57723,0.10045,True,False,False
F4_engulf,B_norm_bull,fwd5,44,-57.80797,-2.32406,0.02099,True,False,False
F4_hammer,A_all,fwd5,111,-0.74918,-0.02369,0.98151,False,False,False
F4_hammer,B_norm_bull,fwd5,0,,,,False,False,False
F4_rev3,A_all,fwd5,748,-6.84557,-0.65768,0.44078,True,False,False
F4_rev3,B_norm_bull,fwd5,154,-14.78551,-0.91626,0.29735,False,False,False
F5_vrp_rich,A_all,fwd5,3319,4.39021,0.72812,0.69315,True,False,False
F5_vrp_rich,B_norm_bull,fwd5,906,26.10654,2.75224,0.10545,True,False,False
F5_atrp_low,A_all,fwd5,3345,-15.21871,-2.50488,0.18591,True,False,False
F5_atrp_low,B_norm_bull,fwd5,1049,14.33921,1.35763,0.43478,True,False,False
F5_vix5d_dn,A_all,fwd5,3497,-18.34098,-3.00175,0.04548,False,False,False
F5_vix5d_dn,B_norm_bull,fwd5,893,-31.94903,-3.42765,0.00750,True,False,False
F5_skew_high,A_all,fwd5,3332,3.89228,0.63344,0.71714,True,False,False
F5_skew_high,B_norm_bull,fwd5,924,11.64765,1.21459,0.49825,False,False,False
F5_vixts_cont,A_all,fwd5,4442,-25.55796,-1.28738,0.51524,True,False,False
F5_vixts_cont,B_norm_bull,fwd5,0,,,,False,False,False
F5_vvix_low,A_all,fwd5,2258,1.01041,0.14659,0.94403,False,False,False
F5_vvix_low,B_norm_bull,fwd5,634,9.37349,0.91805,0.58071,True,False,False
F6_xlu_weak,A_all,fwd5,3458,-8.72357,-1.43592,0.42279,True,False,False
F6_xlu_weak,B_norm_bull,fwd5,974,-1.88478,-0.19031,0.92254,False,False,False
F6_rsp_strong,A_all,fwd5,2891,6.06106,0.97968,0.53723,False,False,False
F6_rsp_strong,B_norm_bull,fwd5,737,15.94012,1.67134,0.37681,True,False,False
F6_tlt_up,A_all,fwd5,3227,15.78582,2.59870,0.18241,True,False,False
F6_tlt_up,B_norm_bull,fwd5,698,19.02947,2.06405,0.27836,True,False,False
F6_hyg_strong,A_all,fwd5,3004,-10.03001,-1.20350,0.52474,False,False,False
F6_hyg_strong,B_norm_bull,fwd5,815,-13.62801,-1.28177,0.41629,False,False,False
F6_dxy_dn,A_all,fwd5,3277,-1.09348,-0.18215,0.92554,False,False,False
F6_dxy_dn,B_norm_bull,fwd5,817,16.49102,1.80025,0.34833,True,False,False
F6_gld_up,A_all,fwd5,3359,8.19212,1.20341,0.53773,True,False,False
F6_gld_up,B_norm_bull,fwd5,815,-14.16790,-1.30882,0.54523,True,False,False
F7_tom,A_all,fwd5,2190,3.17572,0.48976,0.85057,False,False,False
F7_tom,B_norm_bull,fwd5,508,28.45084,2.99729,0.14143,True,False,False
F7_opex_wk,A_all,fwd5,1506,-16.92065,-2.43547,0.18841,True,False,False
F7_opex_wk,B_norm_bull,fwd5,341,-49.31167,-4.33988,0.01199,True,False,False
F7_halloween,A_all,fwd5,3209,6.96509,1.15568,0.36682,False,False,False
F7_halloween,B_norm_bull,fwd5,759,7.37346,0.81888,0.72964,False,False,False
F7_monday,A_all,fwd5,1230,-0.29188,-0.03561,0.92854,True,False,False
F7_monday,B_norm_bull,fwd5,286,1.19602,0.10606,0.87456,True,False,False
F10_spyvol_hi,A_all,fwd5,1115,0.40476,0.04388,0.97601,False,False,False
F10_spyvol_hi,B_norm_bull,fwd5,201,5.23351,0.35281,0.75962,False,False,False
F1_sma5_10,A_all,fwd21,3875,-17.19920,-1.38185,0.54823,False,False,False
