signal,stratum,vix,pricing,cs_pnl,cs_n,cs_debit,bps_pnl,bps_n,bps_credit,bps_maxloss,hold_td
2007-02-27,episode,15.420000076293945,FLAT,4573.0,52,1498.0,22864.0,31,738.0,2462.0,22
2007-02-27,episode,15.420000076293945,HAIRCUT,4573.0,52,1498.0,12741.0,28,455.0,2745.0,22
2007-07-26,episode,24.170000076293945,FLAT,-42906.0,51,1520.0,24777.0,21,1180.0,3720.0,21
2007-07-26,episode,24.170000076293945,HAIRCUT,-42906.0,51,1520.0,16921.0,19,891.0,4009.0,21
2007-10-19,episode,21.639999389648438,FLAT,-78138.0,45,1736.0,-75233.0,21,1117.0,3583.0,22
2007-10-19,episode,21.639999389648438,HAIRCUT,-78138.0,45,1736.0,-77750.0,20,812.0,3888.0,22
2013-06-20,episode,18.899999618530273,FLAT,101980.0,45,1734.0,24167.0,25,967.0,3133.0,20
2013-06-20,episode,18.899999618530273,HAIRCUT,101980.0,45,1734.0,14519.0,22,660.0,3440.0,20
2013-08-27,episode,16.489999771118164,FLAT,106752.0,46,1679.0,23838.0,26,917.0,2983.0,21
2013-08-27,episode,16.489999771118164,HAIRCUT,106752.0,46,1679.0,13637.0,23,593.0,3307.0,21
2013-10-08,episode,19.600000381469727,FLAT,102989.0,40,1925.0,23447.0,21,1117.0,3583.0,22
2013-10-08,episode,19.600000381469727,HAIRCUT,102989.0,40,1925.0,15613.0,20,781.0,3919.0,22
2014-01-29,episode,17.290000915527344,FLAT,107582.0,41,1876.0,23238.0,22,1056.0,3444.0,21
2014-01-29,episode,17.290000915527344,HAIRCUT,107582.0,41,1876.0,14018.0,20,701.0,3799.0,21
2014-10-09,episode,21.239999771118164,FLAT,102493.0,36,2153.0,24397.0,18,1355.0,4345.0,21
2014-10-09,episode,21.239999771118164,HAIRCUT,102493.0,36,2153.0,15648.0,16,978.0,4722.0,21
2014-12-15,episode,23.56999969482422,FLAT,-7165.0,40,1946.0,24474.0,16,1530.0,4870.0,20
2014-12-15,episode,23.56999969482422,HAIRCUT,-7165.0,40,1946.0,16070.0,14,1148.0,5252.0,20
2015-01-15,episode,20.950000762939453,FLAT,103171.0,36,2134.0,23389.0,17,1376.0,4424.0,20
2015-01-15,episode,20.950000762939453,HAIRCUT,103171.0,36,2134.0,15774.0,16,986.0,4814.0,20
2015-08-20,episode,28.030000686645508,FLAT,-76979.0,35,2199.0,24083.0,13,1853.0,5747.0,20
2015-08-20,episode,28.030000686645508,HAIRCUT,-76979.0,35,2199.0,17632.0,12,1469.0,6131.0,20
2015-11-13,episode,18.15999984741211,FLAT,-10691.0,37,2096.0,23774.0,19,1251.0,4049.0,21
2015-11-13,episode,18.15999984741211,HAIRCUT,-10691.0,37,2096.0,14362.0,17,845.0,4455.0,21
2016-05-19,episode,15.199999809265137,FLAT,36006.0,34,2266.0,23538.0,23,1023.0,3377.0,20
2016-05-19,episode,15.199999809265137,HAIRCUT,36006.0,34,2266.0,12566.0,20,628.0,3772.0,20
2016-06-24,episode,23.850000381469727,FLAT,101400.0,36,2183.0,23825.0,15,1588.0,5012.0,21
2016-06-24,episode,23.850000381469727,HAIRCUT,101400.0,36,2183.0,16686.0,14,1192.0,5408.0,21
2016-11-02,episode,22.079999923706055,FLAT,102322.0,36,2158.0,23616.0,15,1574.0,5026.0,21
2016-11-02,episode,22.079999923706055,HAIRCUT,102322.0,36,2158.0,16234.0,14,1160.0,5440.0,21
2018-02-05,sudden,29.979999542236328,FLAT,32980.0,25,3078.0,24983.0,9,2776.0,8524.0,21
2018-02-05,sudden,29.979999542236328,HAIRCUT,32980.0,25,3078.0,17913.0,8,2239.0,9061.0,21
2018-10-10,episode,24.979999542236328,FLAT,-76904.0,27,2848.0,23484.0,10,2348.0,7352.0,22
2018-10-10,episode,24.979999542236328,HAIRCUT,-76904.0,27,2848.0,16146.0,9,1794.0,7906.0,22
2019-05-13,episode,18.059999465942383,FLAT,70356.0,26,2958.0,24009.0,14,1715.0,5585.0,21
2019-05-13,episode,18.059999465942383,HAIRCUT,70356.0,26,2958.0,13858.0,12,1155.0,6145.0,21
2019-08-05,episode,20.170000076293945,FLAT,102754.0,24,3219.0,23300.0,12,1942.0,6258.0,21
2019-08-05,episode,20.170000076293945,HAIRCUT,102754.0,24,3219.0,15088.0,11,1372.0,6828.0,21
2019-10-02,episode,19.1200008392334,FLAT,103126.0,24,3203.0,22921.0,12,1910.0,6190.0,22
2019-10-02,episode,19.1200008392334,HAIRCUT,103126.0,24,3203.0,14533.0,11,1321.0,6779.0,22
2020-02-24,sudden,27.850000381469727,FLAT,-76054.0,23,3307.0,-75589.0,8,3051.0,9449.0,22
2020-02-24,sudden,27.850000381469727,HAIRCUT,-76054.0,23,3307.0,-70598.0,7,2415.0,10085.0,22
2020-09-04,sudden,31.459999084472656,FLAT,94359.0,20,3782.0,25765.0,7,3681.0,11119.0,22
2020-09-04,sudden,31.459999084472656,HAIRCUT,94359.0,20,3782.0,18005.0,6,3001.0,11799.0,22
2020-10-19,episode,29.350000381469727,FLAT,95093.0,20,3745.0,24739.0,7,3534.0,10866.0,22
2020-10-19,episode,29.350000381469727,HAIRCUT,95093.0,20,3745.0,16999.0,6,2833.0,11567.0,22
2021-03-04,episode,24.65999984741211,FLAT,101789.0,18,4345.0,22049.0,7,3150.0,9950.0,20
2021-03-04,episode,24.65999984741211,HAIRCUT,101789.0,18,4345.0,16832.0,7,2405.0,10695.0,20
2021-05-12,episode,23.1299991607666,FLAT,100669.0,17,4578.0,22746.0,7,3249.0,10351.0,21
2021-05-12,episode,23.1299991607666,HAIRCUT,100669.0,17,4578.0,17030.0,7,2433.0,11167.0,21
2021-09-21,episode,20.8700008392334,FLAT,99828.0,16,4761.0,22315.0,7,3188.0,10212.0,22
2021-09-21,episode,20.8700008392334,HAIRCUT,99828.0,16,4761.0,16069.0,7,2296.0,11104.0,22
2021-12-01,episode,27.950000762939453,FLAT,96282.0,15,5081.0,21725.0,5,4345.0,13455.0,21
2021-12-01,episode,27.950000762939453,HAIRCUT,96282.0,15,5081.0,17175.0,5,3435.0,14365.0,21
2022-01-18,episode,23.850000381469727,FLAT,-76756.0,16,4797.0,-5888.0,6,3732.0,11768.0,22
2022-01-18,episode,23.850000381469727,HAIRCUT,-76756.0,16,4797.0,-11411.0,6,2811.0,12689.0,22
