timestamp,date,bar_hm,vix,spx,ivp252,regime,baseline_strategy,baseline_position_action
2025-05-27 09:30:00-04:00,2025-05-27,09:30,20.219999313354492,5890.39990234375,71.7,NORMAL,Reduce / Wait,WAIT
2025-05-27 10:30:00-04:00,2025-05-27,10:30,19.5,5899.81005859375,68.4,NORMAL,Reduce / Wait,WAIT
2025-05-27 11:30:00-04:00,2025-05-27,11:30,19.389999389648438,5905.330078125,67.6,NORMAL,Reduce / Wait,WAIT
2025-05-27 12:30:00-04:00,2025-05-27,12:30,19.309999465942383,5913.2099609375,67.2,NORMAL,Reduce / Wait,WAIT
2025-05-27 13:30:00-04:00,2025-05-27,13:30,19.1299991607666,5918.47998046875,65.2,NORMAL,Reduce / Wait,WAIT
2025-05-27 14:30:00-04:00,2025-05-27,14:30,19.1299991607666,5914.68994140625,65.2,NORMAL,Reduce / Wait,WAIT
2025-05-27 15:30:00-04:00,2025-05-27,15:30,19.030000686645508,5921.169921875,63.6,NORMAL,Reduce / Wait,WAIT
2025-05-28 09:30:00-04:00,2025-05-28,09:30,19.06999969482422,5914.31982421875,63.3,NORMAL,Reduce / Wait,WAIT
2025-05-28 10:30:00-04:00,2025-05-28,10:30,19.309999465942383,5905.830078125,66.9,NORMAL,Reduce / Wait,WAIT
2025-05-28 11:30:00-04:00,2025-05-28,11:30,19.43000030517578,5910.4599609375,67.3,NORMAL,Reduce / Wait,WAIT
2025-05-28 12:30:00-04:00,2025-05-28,12:30,19.059999465942383,5914.240234375,63.3,NORMAL,Reduce / Wait,WAIT
2025-05-28 13:30:00-04:00,2025-05-28,13:30,19.0,5912.25,63.3,NORMAL,Reduce / Wait,WAIT
2025-05-28 14:30:00-04:00,2025-05-28,14:30,18.950000762939453,5906.81005859375,62.9,NORMAL,Reduce / Wait,WAIT
2025-05-28 15:30:00-04:00,2025-05-28,15:30,19.190000534057617,5889.5,64.9,NORMAL,Reduce / Wait,WAIT
2025-05-29 09:30:00-04:00,2025-05-29,09:30,19.139999389648438,5912.60986328125,65.1,NORMAL,Reduce / Wait,WAIT
2025-05-29 10:30:00-04:00,2025-05-29,10:30,18.979999542236328,5919.14013671875,63.1,NORMAL,Reduce / Wait,WAIT
