variant,n_bars,n_days,intraday_flips,flips_per_day,switching_days,open_close_mismatch_days,n_bps_episodes,median_hold_hours,episodes_le_3h,bps_opens,bps_closes,round_trips,friction_5contracts_usd,friction_10contracts_usd,eod_agreement_pct
baseline,147,21,15,0.714,7,6,8,4.0,4,8,7,7,175.0,1050.0,100.0
A_hysteresis,147,21,7,0.333,4,4,4,18.5,1,4,3,3,75.0,450.0,90.5
B_scheduled,147,21,11,0.524,10,9,6,7.0,2,6,5,5,125.0,750.0,100.0
AB_combined,147,21,7,0.333,7,7,4,20.5,1,4,3,3,75.0,450.0,90.5
