entry_date,exit_date,exit_pnl,exit_reason,entry_credit,contracts,pnl_pct,hold_days,gate
2001-02-16,2001-03-09,2139.162881949754,profit_target,-7.437777263087668,3.9953,71.9865384320148,14,hv_bearish_vix_rising
2001-03-09,2001-03-23,2089.1274460917316,profit_target,-8.138894559028927,3.5677,71.94675058441402,10,hv_bearish_vix_rising
2001-06-14,2001-07-06,2162.1011980350636,profit_target,-7.424368020121079,3.9942,72.90993628423604,15,hv_bearish_vix_rising
2001-07-09,2001-08-08,2155.7830993736143,profit_target,-6.96176909445829,4.2824,72.30997607543705,22,hv_bearish_vix_rising
2001-08-08,2001-08-28,1816.209187883712,profit_target,-6.879394363079882,4.364,60.49659343995464,14,hv_bearish_vix_rising
2001-08-28,2001-09-19,1856.9692540733747,profit_target,-6.583236887418963,4.5242,62.34813038946198,11,hv_bearish_vix_rising
2002-01-29,2002-02-21,1860.614067791039,profit_target,-6.822565721096666,4.2703,63.86312793797797,16,hv_bearish_vix_rising
2002-02-21,2002-03-27,-50.241740089400075,roll_21dte,-6.641555495444493,4.4343,-1.7059637354461878,24,hv_bearish_vix_rising
2008-02-27,2008-03-17,1866.6364426827683,profit_target,-7.996208637767268,3.7497,62.2556970888598,13,hv_bearish_vix_rising
2008-04-14,2008-05-16,-1104.4499003221881,roll_21dte,-8.124330439303677,3.6285,-37.46548110350301,24,hv_bearish_vix_rising
2008-07-21,2008-08-21,1838.0997225505753,profit_target,-7.386919372853356,3.9914,62.34196079920038,23,hv_bearish_vix_rising
2010-06-17,2010-07-01,1869.2238034159723,profit_target,-7.181989092943766,4.0526,64.22185142795468,10,hv_bearish_vix_rising
2010-08-27,2010-10-01,-2680.0115877037097,roll_21dte,-6.726705454199646,4.3502,-91.5851447890086,24,hv_bearish_vix_rising
2022-12-19,2023-01-25,-413.20434176379405,roll_21dte,-22.194045748771146,1.3392,-13.902181645092718,24,hv_bearish_vix_rising
2000-06-06,2000-06-29,3347.363034559007,profit_target,-13.685079546739885,3.9389,62.09841773480073,17,hv_neutral_vix_rising
2002-01-14,2002-02-13,3347.7913617696104,profit_target,-10.85583637032245,4.8674,63.35750376557232,21,hv_neutral_vix_rising
2008-04-11,2008-05-13,3302.683013034267,profit_target,-12.620934540768971,4.3407,60.28588032691668,22,hv_neutral_vix_rising
2010-09-07,2010-10-11,2309.468818040631,roll_21dte,-10.444311093975202,5.1781,42.70334256153593,24,hv_neutral_vix_rising
2022-09-07,2022-10-11,-4491.580296714718,roll_21dte,-40.563848092585886,1.3255,-83.53727190518262,24,hv_neutral_vix_rising
2022-09-08,2022-10-12,-5707.588912222282,roll_21dte,-38.38194461091064,1.4036,-105.94546018055206,24,hv_neutral_vix_rising
2000-01-11,2000-02-01,-622.1789433398072,roll_21dte,-8.13634163464178,5.139,-14.880157071871288,14,hv_bullish_vix_rising
2000-03-23,2000-04-12,-3986.9979609179836,roll_21dte,-8.424687846112448,4.9324,-95.94755367416656,14,hv_bullish_vix_rising
2000-04-12,2000-05-03,-1651.693517334185,roll_21dte,-10.918742468126567,3.9562,-38.23654145558465,14,hv_bullish_vix_rising
2000-06-05,2000-06-23,20.273104922234307,roll_21dte,-8.274642658545673,5.0329,0.48680240918076617,14,hv_bullish_vix_rising
2000-06-26,2000-07-11,2609.9534200690846,profit_target,-8.277500098817086,5.0333,62.644182409876755,10,hv_bullish_vix_rising
2001-01-24,2001-02-13,-1734.661594170072,roll_21dte,-7.617589055781622,5.4713,-41.620442626368714,14,hv_bullish_vix_rising
