stratum,n,baseline,lo_bracket,shift
UP,60,0.2849,0.2849,0.0
FLAT,45,0.0504,0.0504,0.0
DOWN,32,-0.1899,-0.214,-0.0241
AGG,137,0.097,0.0913,-0.0056
