window,kind,start,end,bcd_days,vix_avg
2008_GFC,stress,2007-10-01,2009-06-30,0,0
2018_Q4,stress,2018-10-01,2019-01-31,4,12.47
2020_COVID,stress,2020-02-15,2020-05-31,2,14.61
2022_rates,stress,2022-01-01,2022-12-31,0,0
2015_aug,stress,2015-08-01,2015-10-31,5,14.57
2011_summer,stress,2011-07-01,2011-10-31,0,0
2017_low_vol,benign,2017-01-01,2017-12-31,223,10.78
2021_bull,benign,2021-01-01,2021-12-31,0,0
2024_bull,benign,2024-01-01,2024-12-31,138,13.43
