entry,exit,hold_days,entry_spx,exit_spx,entry_vix,ivp,iv_signal,regime,trend,debit_usd,pnl_usd,period_roe,qqq_in,qqq_out,qqq_return,spx_in,spx_out,spx_return,bcd_minus_qqq
2018-06-05,2018-06-29,24,2748.8,2718.37,12.4,62.2,NEUTRAL,LOW_VOL,BULLISH,9422.52,-455.84,-0.0484,165.99,163.31,-0.0161,2748.8,2718.37,-0.0111,-0.0323
2018-07-06,2018-07-30,24,2759.82,2802.6,13.37,62.9,NEUTRAL,LOW_VOL,BULLISH,10085.36,2293.17,0.2274,167.08,166.6,-0.0028,2759.82,2802.6,0.0155,0.2302
2018-07-31,2018-08-24,24,2816.29,2874.69,12.83,56.6,NEUTRAL,LOW_VOL,BULLISH,9799.88,2804.85,0.2862,167.88,173.61,0.0342,2816.29,2874.69,0.0207,0.252
2018-08-27,2018-09-20,24,2896.74,2930.75,12.16,45.8,NEUTRAL,LOW_VOL,BULLISH,9815.21,1749.31,0.1782,175.38,175.74,0.0021,2896.74,2930.75,0.0117,0.1761
2018-09-21,2018-10-15,24,2929.67,2750.79,11.68,35.1,LOW,LOW_VOL,BULLISH,9560.97,-3939.67,-0.4121,174.78,164.14,-0.0609,2929.67,2750.79,-0.0611,-0.3512
2019-02-15,2019-03-11,24,2775.6,2783.3,14.91,39.0,LOW,LOW_VOL,BULLISH,11297.28,467.74,0.0414,164.35,167.01,0.0162,2775.6,2783.3,0.0028,0.0252
2019-03-12,2019-04-05,24,2791.52,2892.74,13.77,33.5,LOW,LOW_VOL,BULLISH,10386.51,4426.04,0.4261,167.93,176.83,0.053,2791.52,2892.74,0.0363,0.3731
2019-04-08,2019-05-02,24,2895.77,2917.52,13.18,27.5,LOW,LOW_VOL,BULLISH,10400.27,1420.56,0.1366,177.28,180.13,0.0161,2895.77,2917.52,0.0075,0.1205
2019-05-03,2019-05-28,25,2945.64,2802.39,12.87,25.9,LOW,LOW_VOL,BULLISH,10409.22,-4822.94,-0.4633,183.0,169.96,-0.0713,2945.64,2802.39,-0.0486,-0.392
2019-06-19,2019-07-15,26,2926.46,3014.3,14.33,38.6,LOW,LOW_VOL,BULLISH,11441.3,4216.52,0.3685,179.17,186.33,0.0399,2926.46,3014.3,0.03,0.3286
2019-07-16,2019-08-09,24,3004.04,2918.65,12.86,18.7,LOW,LOW_VOL,BULLISH,10750.38,-2293.47,-0.2133,185.37,178.97,-0.0345,3004.04,2918.65,-0.0284,-0.1788
2019-09-11,2019-10-07,26,3000.93,2938.79,14.61,31.1,LOW,LOW_VOL,BULLISH,12032.0,-1937.71,-0.161,184.67,181.02,-0.0198,3000.93,2938.79,-0.0207,-0.1412
2019-10-14,2019-11-07,24,2966.15,3085.18,14.57,25.9,LOW,LOW_VOL,BULLISH,11656.07,5200.09,0.4461,183.76,192.74,0.0489,2966.15,3085.18,0.0401,0.3972
2019-11-08,2019-12-02,24,3093.08,3113.87,12.07,0.4,LOW,LOW_VOL,BULLISH,10219.25,1655.33,0.162,193.51,195.21,0.0088,3093.08,3113.87,0.0067,0.1532
2019-12-04,2019-12-30,26,3112.76,3221.29,14.8,43.0,NEUTRAL,LOW_VOL,BULLISH,12555.46,5109.76,0.407,194.66,204.51,0.0506,3112.76,3221.29,0.0349,0.3564
2019-12-31,2020-01-24,24,3230.78,3295.47,13.78,34.3,LOW,LOW_VOL,BULLISH,12327.0,3342.63,0.2712,204.9,214.62,0.0475,3230.78,3295.47,0.02,0.2237
2020-02-06,2020-03-02,25,3345.78,3090.23,14.96,58.6,NEUTRAL,LOW_VOL,BULLISH,13614.9,-3023.78,-0.2221,221.84,208.57,-0.0598,3345.78,3090.23,-0.0764,-0.1623
2023-06-02,2023-06-26,24,4282.37,4328.82,14.6,0.0,LOW,LOW_VOL,BULLISH,16994.36,2516.34,0.1481,348.47,351.93,0.0099,4282.37,4328.82,0.0108,0.1382
2023-06-27,2023-07-21,24,4378.41,4536.34,13.74,2.0,LOW,LOW_VOL,BULLISH,16495.16,6897.11,0.4181,357.98,369.59,0.0324,4378.41,4536.34,0.0361,0.3857
2023-07-24,2023-08-17,24,4554.64,4370.36,13.91,8.0,LOW,LOW_VOL,BULLISH,17414.8,-6431.98,-0.3693,370.18,352.81,-0.0469,4554.64,4370.36,-0.0405,-0.3224
2023-08-29,2023-09-22,24,4497.63,4320.06,14.45,12.7,LOW,LOW_VOL,BULLISH,17720.84,-6909.31,-0.3899,368.74,352.66,-0.0436,4497.63,4320.06,-0.0395,-0.3463
2023-11-08,2023-12-04,26,4382.78,4569.78,14.45,17.9,LOW,LOW_VOL,BULLISH,17105.69,8034.83,0.4697,367.47,380.66,0.0359,4382.78,4569.78,0.0427,0.4338
2023-12-05,2023-12-29,24,4567.18,4769.83,12.85,2.0,LOW,LOW_VOL,BULLISH,16000.06,7830.1,0.4894,381.61,404.54,0.0601,4567.18,4769.83,0.0444,0.4293
2024-01-02,2024-01-26,24,4742.83,4890.97,13.2,11.2,LOW,LOW_VOL,BULLISH,16933.92,6579.06,0.3885,397.69,418.65,0.0527,4742.83,4890.97,0.0312,0.3358
