date,ivp,vix,trend,anchor_spx,fwd_21d_ret,fwd_21d_dir,fwd_34d_ret,fwd_34d_dir,fwd_60d_ret,fwd_60d_dir
2014-06-05,LOW,11.68,BULLISH,1940.46,0.0086,FLAT,0.0167,UP,-0.0008,FLAT
2014-06-06,LOW,10.73,BULLISH,1949.44,0.0059,FLAT,0.0078,FLAT,-0.015,DOWN
2014-06-09,LOW,11.15,BULLISH,1951.27,0.0046,FLAT,0.0132,UP,-0.0101,DOWN
2014-06-10,LOW,10.99,BULLISH,1950.79,0.0115,UP,0.0135,UP,-0.0071,FLAT
2014-06-11,LOW,11.6,BULLISH,1943.89,0.0158,UP,0.0151,UP,-0.0036,FLAT
2014-06-12,LOW,12.56,BULLISH,1930.11,0.0287,UP,0.0267,UP,0.0035,FLAT
2014-06-13,LOW,12.18,BULLISH,1936.16,0.0214,UP,0.0113,UP,-0.0012,FLAT
2014-06-16,LOW,12.65,BULLISH,1937.78,0.0206,UP,0.0185,UP,0.0089,FLAT
2014-06-17,LOW,12.06,BULLISH,1941.99,0.0112,UP,0.0163,UP,0.0153,UP
2014-06-18,LOW,10.61,BULLISH,1956.98,0.0081,FLAT,0.0136,UP,0.0075,FLAT
2014-06-19,LOW,10.62,BULLISH,1959.48,0.0027,FLAT,0.014,UP,0.0063,FLAT
2014-06-20,LOW,10.85,BULLISH,1962.87,0.0024,FLAT,0.0128,UP,0.0095,FLAT
2014-06-23,LOW,10.98,BULLISH,1962.61,0.0074,FLAT,0.0083,FLAT,0.0131,UP
2014-06-24,LOW,12.13,BULLISH,1949.98,0.0119,UP,0.0148,UP,0.0246,UP
2014-06-25,LOW,11.59,BULLISH,1959.53,0.0112,UP,0.0053,FLAT,0.0196,UP
2014-06-26,LOW,11.63,BULLISH,1957.22,0.0005,FLAT,0.0066,FLAT,0.0208,UP
2014-06-27,LOW,11.26,BULLISH,1960.96,0.0088,FLAT,-0.0154,DOWN,0.0199,UP
2014-06-30,LOW,11.57,BULLISH,1960.23,0.0068,FLAT,-0.0108,DOWN,0.022,UP
2014-07-01,LOW,11.15,BULLISH,1973.32,0.0052,FLAT,-0.0174,DOWN,0.0147,UP
2014-07-02,LOW,10.82,BULLISH,1974.62,0.0063,FLAT,-0.0276,DOWN,0.014,UP
2014-07-03,LOW,10.32,BULLISH,1985.44,0.0013,FLAT,-0.0328,DOWN,0.0085,FLAT
2014-07-07,LOW,11.33,BULLISH,1977.65,0.0006,FLAT,-0.0206,DOWN,0.0152,UP
2014-07-08,LOW,11.98,BULLISH,1963.71,0.0032,FLAT,-0.0136,DOWN,0.0193,UP
2014-07-09,LOW,11.65,BULLISH,1972.83,-0.0014,FLAT,-0.0198,DOWN,0.0146,UP
2014-07-10,LOW,12.59,BULLISH,1964.68,-0.0173,DOWN,-0.0091,FLAT,0.0188,UP
2014-07-11,LOW,12.08,BULLISH,1967.57,-0.0216,DOWN,-0.0063,FLAT,0.0106,UP
2014-07-14,LOW,11.82,BULLISH,1977.1,-0.0193,DOWN,-0.0027,FLAT,0.0043,FLAT
