mode,era,n,wr_pct,total_k,avg_k,worst_k,cvar10_k,per_cash_kday,med_hold,capped_pct,knife5_pct
T+1(现任),full,37,70,1001.9,27.08,-62.6,-62.6,20.872,21,62,14
T+1(现任),post2020,15,73,503.7,33.58,-62.5,-62.5,25.746,21,73,20
T+5,full,37,62,635.4,17.17,-62.6,-62.6,13.185,21,51,14
T+5,post2020,15,60,320.3,21.35,-62.5,-62.5,16.322,21,53,13
MA10确认,full,37,62,712.6,19.26,-62.6,-62.6,14.808,21,54,16
MA10确认,post2020,15,67,362.1,24.14,-62.5,-62.5,18.219,21,60,20
