signal,pnl_k
2014-01-29,43.1
2015-01-15,72.1
2015-11-13,-62.5
2015-12-14,-62.5
2018-02-05,39.8
2019-08-05,52.1
2021-03-04,95.2
2021-05-12,48.8
2021-12-01,84.2
2024-09-06,110.3
2025-02-27,-62.5
2026-06-10,-6.0
