trig_pct,era,n,wr_pct,total_k,avg_k,worst_k,cvar10_k,per_cash_kday,med_hold,capped_pct,knife5_pct
-3.0,full,45,69,992.6,22.06,-62.6,-62.6,17.15,21,53,18
-3.0,post2020,17,65,325.7,19.16,-62.5,-62.5,14.762,21,59,35
-4.0,full,37,70,1001.9,27.08,-62.6,-62.6,20.872,21,62,14
-4.0,post2020,15,73,503.7,33.58,-62.5,-62.5,25.746,21,73,20
-5.0,full,24,67,618.7,25.78,-62.6,-62.6,19.76,21,67,12
-5.0,post2020,10,70,287.2,28.72,-62.5,-62.5,21.677,21,70,20
-6.0,full,17,59,265.9,15.64,-62.6,-62.6,12.086,21,59,12
-6.0,post2020,7,57,84.3,12.04,-62.5,-62.5,9.172,21,57,29
