signal_date,entry_date,settle_date,year,S,KL,KS,vix,hold_td,ST,gap_t1_pct,knife_pct,capped,debit_inc,pnl_inc,debit_calib,pnl_calib,debit_stress,pnl_stress,cash_days
2007-02-27,2007-02-28,2007-03-30,2007,1399.0400390625,1400,1435,18.309999465942383,22,1420.8599853515625,-0.0002859277811166905,-0.023243877980356764,False,15.849,19249.0,16.23,17331.0,22.143,-3988.0,1375000.0
2007-07-26,2007-07-27,2007-08-27,2007,1482.6600341796875,1485,1520,20.739999771118164,21,1466.7900390625,-0.00014844453102103028,-0.035813428663561186,False,16.195,-62600.0,16.353,-62599.0,22.798,-62571.0,1312500.0
2007-10-19,2007-10-22,2007-11-19,2007,1500.6300048828125,1500,1540,22.959999084472656,20,1433.27001953125,-0.0018925156841271829,-0.04850194755124759,False,18.963,-62585.0,18.93,-62585.0,25.503,-62563.0,1250000.0
2007-11-19,2007-11-20,2007-12-20,2007,1433.27001953125,1435,1470,26.010000228881836,21,1460.1199951171875,0.0008651476815098036,-0.022560242807754594,False,16.86,30060.0,16.513,32007.0,22.89,5678.0,1312500.0
2013-06-20,2013-06-21,2013-07-22,2013,1588.18994140625,1590,1630,20.489999771118164,20,1695.530029296875,0.00027078229103794094,-0.012145015629135836,True,18.379,72762.0,18.55,71513.0,25.396,35388.0,1250000.0
2013-08-27,2013-08-28,2013-09-27,2013,1630.47998046875,1630,1670,16.770000457763672,21,1691.75,-0.00014105077738146843,-0.0012171492158339348,True,18.156,74419.0,18.888,69112.0,25.697,34241.0,1312500.0
2013-10-08,2013-10-09,2013-11-08,2013,1655.449951171875,1655,1695,20.34000015258789,22,1770.6099853515625,0.0009302842779450593,0.0,True,18.833,69501.0,19.192,67028.0,26.403,31655.0,1375000.0
2014-01-29,2014-01-30,2014-03-03,2014,1774.199951171875,1775,1820,17.350000381469727,21,1845.72998046875,0.0016740462491140473,-0.029149604259190554,True,20.175,76128.0,20.763,72202.0,28.147,36868.0,1312500.0
2014-10-09,2014-10-10,2014-11-10,2014,1928.2099609375,1930,1975,18.760000228881836,21,2038.260009765625,-0.0013380057706128268,-0.022894563611426055,True,20.658,72891.0,21.181,69549.0,29.458,32444.0,1312500.0
2014-12-15,2014-12-16,2015-01-15,2014,1989.6300048828125,1990,2040,20.420000076293945,20,1992.6700439453125,-0.0014676316391220023,0.0,False,23.263,-55432.0,23.595,-55531.0,32.206,-57394.0,1250000.0
2015-01-15,2015-01-16,2015-02-17,2015,1992.6700439453125,1995,2040,22.389999389648438,20,2100.340087890625,-0.00021079452997685433,-0.012097559288957505,True,21.357,68462.0,21.437,67972.0,30.234,30007.0,1250000.0
2015-08-20,2015-08-21,2015-09-21,2015,2035.72998046875,2035,2085,19.139999389648438,20,1966.969970703125,-0.0008105320597000532,-0.05240273608839496,False,23.262,-62570.0,23.872,-62568.0,32.636,-62550.0,1250000.0
2015-11-13,2015-11-16,2015-12-14,2015,2023.0400390625,2025,2075,20.079999923706055,19,2021.93994140625,-0.00047457439757714326,-0.019881232352572553,False,23.011,-62570.0,23.324,-62569.0,32.043,-62550.0,1187500.0
2015-12-14,2015-12-15,2016-01-14,2015,2021.93994140625,2020,2070,22.729999542236328,20,1921.8399658203125,0.001785467188191614,-0.07493846184634478,False,24.083,-62567.0,24.208,-62567.0,33.133,-62549.0,1250000.0
2016-05-19,2016-05-20,2016-06-20,2016,2040.0400390625,2040,2090,16.329999923706055,20,2083.25,0.0009019263274645528,-0.0020854589704891735,False,22.479,57079.0,23.396,52393.0,31.829,21952.0,1250000.0
2016-06-24,2016-06-27,2016-07-25,2016,2037.4100341796875,2035,2090,25.760000228881836,19,2168.47998046875,-0.002925323281924519,0.0,True,26.748,65316.0,26.316,67412.0,35.355,34199.0,1187500.0
