entry_date,exit_date_orig,actual_exit_date,stop_triggered_on,was_stopped,vix_at_entry,vix_at_exit,hold_days,S_entry,S_exit,K_short,K_long,contracts,entry_credit_ps,exit_cost_ps,pnl,p3_orig_pnl,premature_winner,bp,bp_day,version
2009-11-10,2009-11-25,2009-11-25,,False,22.84,20.48,15,1093.01,1110.63,1031.0,996.0,6.6088,5.6958,1.4882,2780.75,2792.96,False,22921.47,2.952,A_no_stop
2011-10-11,2011-10-21,2011-10-21,,False,32.86,31.32,10,1195.54,1238.25,1099.0,1046.0,4.5491,9.1289,3.1334,2727.44,2727.29,False,24022.53,4.1441,A_no_stop
2011-10-24,2011-11-11,2011-11-11,,False,29.26,30.04,18,1254.19,1263.85,1163.0,1114.0,4.6143,8.4717,3.7026,2200.59,2165.66,False,23030.8,1.9375,A_no_stop
2011-11-11,2011-12-02,2011-12-02,,False,30.04,27.52,21,1263.85,1244.28,1170.0,1119.0,4.4502,8.7771,4.3031,1991.02,1976.23,False,22920.96,1.5098,A_no_stop
2011-12-08,2011-12-22,2011-12-22,,False,30.59,21.16,14,1234.35,1254.0,1141.0,1090.0,4.5342,8.738,1.0146,3501.94,3497.47,False,23184.51,3.938,A_no_stop
2020-04-27,2020-05-11,2020-05-11,,False,33.29,27.57,14,2878.48,2930.19,2643.0,2515.0,1.834,22.2864,5.4701,3084.1,3076.79,False,23591.69,3.4083,A_no_stop
2020-05-11,2020-05-27,2020-05-27,,False,27.57,27.62,16,2930.19,3036.13,2730.0,2619.0,2.1075,18.5926,3.9858,3078.38,3080.87,False,23285.53,3.0158,A_no_stop
2020-05-27,2020-06-05,2020-06-05,,False,27.62,24.52,9,3036.13,3193.93,2828.0,2714.0,2.0252,19.3015,2.8988,3321.86,3318.45,False,23223.4,5.801,A_no_stop
2020-06-05,2020-06-25,2020-06-25,,False,24.52,32.22,20,3193.93,3083.76,2999.0,2891.0,2.1356,17.9237,28.7932,-2321.28,-2329.5,False,23106.44,-1.8334,A_no_stop
2020-06-25,2020-07-06,2020-07-06,,False,32.22,27.94,11,3083.76,3179.72,2840.0,2706.0,1.7546,23.0629,5.8892,3013.31,3018.44,False,23484.03,4.2577,A_no_stop
2020-07-07,2020-07-20,2020-07-20,,False,29.43,24.46,13,3145.32,3251.84,2917.0,2791.0,1.8793,21.377,3.2572,3405.25,3408.77,False,23647.87,4.043,A_no_stop
2020-11-06,2020-11-23,2020-11-23,,False,24.86,22.66,17,3509.44,3577.59,3292.0,3172.0,1.9403,19.9796,4.2029,3061.17,3056.36,False,23360.48,2.8135,A_no_stop
2021-03-10,2021-03-26,2021-03-26,,False,22.56,18.86,16,3898.81,3974.54,3680.0,3557.0,1.862,20.0586,3.0501,3166.99,3171.69,False,22774.99,3.1722,A_no_stop
