entry_date,exit_date,vix_at_entry,vix_at_exit,vix_peak_10d,S_entry,S_exit,contracts,hold_days,actual_pnl,actual_bp,bps_short_K,bps_long_K,bps_spread_width,bps_entry_credit,bps_close_cost,bps_pnl,bps_bp,bps_bp_day,v3a_put_short_K,v3a_put_long_K,v3a_put_width,v3a_call_short_K,v3a_call_long_K,v3a_call_width,v3a_put_credit,v3a_call_credit,v3a_entry_credit,v3a_close_cost,v3a_pnl,v3a_bp,v3a_bp_day,pnl_diff_v3a_minus_bps
2009-11-10,2009-11-25,22.84,20.48,30.69,1093.01,1110.63,6.6088,15,2594.23,21000.0,1031.0,996.0,35.0,3764.27,971.31,2792.96,22921.47,81.2327,994.0,974.0,20.0,1223.0,1287.0,64.0,1514.8,2627.87,4142.67,1818.52,2324.15,42112.75,36.7925,-468.81
2011-10-11,2011-10-21,32.86,31.32,45.45,1195.54,1238.25,4.5491,10,2615.25,21000.0,1099.0,1046.0,53.0,4152.85,1425.56,2727.29,24022.53,113.5305,1043.0,1013.0,30.0,1406.0,1513.0,107.0,1672.24,2798.82,4471.07,3656.68,814.38,48480.85,16.7981,-1912.91
2011-10-24,2011-11-11,29.26,30.04,34.78,1254.19,1263.85,4.6143,18,1754.17,21000.0,1163.0,1114.0,50.0,3909.1,1743.44,2165.66,23030.8,52.2408,1111.0,1082.0,29.0,1449.0,1546.0,97.0,1573.63,2668.06,4241.69,2195.18,2046.51,44934.89,25.3022,-119.15
2011-11-11,2011-12-02,30.04,27.52,36.16,1263.85,1244.28,4.4502,21,1102.87,21000.0,1170.0,1119.0,52.0,3905.99,1929.76,1976.23,22920.96,41.0568,1116.0,1086.0,29.0,1465.0,1567.0,101.0,1572.55,2658.68,4231.22,1069.86,3161.36,45049.35,33.4169,1185.13
2011-12-08,2011-12-22,30.59,21.16,34.47,1234.35,1254.0,4.5342,14,3576.73,21000.0,1141.0,1090.0,51.0,3961.99,464.52,3497.47,23184.51,107.7527,1087.0,1058.0,29.0,1435.0,1536.0,101.0,1594.99,2691.39,4286.39,530.58,3755.81,45800.35,58.5742,258.34
2020-04-27,2020-05-11,33.29,27.57,45.41,2878.48,2930.19,1.834,14,2917.8,21000.0,2643.0,2515.0,129.0,4087.33,1010.54,3076.79,23591.69,93.1559,2508.0,2435.0,73.0,3392.0,3653.0,261.0,1645.8,2750.33,4396.13,1384.21,3011.92,47801.77,45.0061,-64.87
2020-05-11,2020-05-27,27.57,27.62,37.19,2930.19,3036.13,2.1075,16,2767.44,21000.0,2730.0,2619.0,110.0,3918.39,837.52,3080.87,23285.53,82.6927,2613.0,2550.0,63.0,3356.0,3568.0,212.0,1577.19,2690.19,4267.38,3343.98,923.4,44716.69,12.9063,-2157.47
2020-05-27,2020-06-05,27.62,24.52,35.28,3036.13,3193.93,2.0252,9,3428.46,21000.0,2828.0,2714.0,115.0,3908.93,590.48,3318.45,23223.4,158.7695,2707.0,2641.0,66.0,3478.0,3699.0,220.0,1573.39,2683.23,4256.62,4246.99,9.63,44618.34,0.2398,-3308.82
2020-06-05,2020-06-25,24.52,32.22,28.59,3193.93,3083.76,2.1356,20,-3162.67,21000.0,2999.0,2891.0,108.0,3827.79,6157.29,-2329.5,23106.44,-50.4081,2885.0,2822.0,62.0,3604.0,3806.0,202.0,1540.32,2656.37,4196.69,3799.3,397.38,43124.35,4.6074,2726.88
2020-06-25,2020-07-06,32.22,27.94,36.09,3083.76,3179.72,1.7546,11,2788.27,21000.0,2840.0,2706.0,134.0,4046.62,1028.17,3018.44,23484.03,116.8471,2698.0,2622.0,76.0,3615.0,3883.0,268.0,1629.27,2733.19,4362.46,2399.92,1962.53,47107.49,37.8734,-1055.91
2020-07-07,2020-07-20,29.43,24.46,34.73,3145.32,3251.84,1.8793,13,3332.91,21000.0,2917.0,2791.0,126.0,4017.38,608.62,3408.77,23647.87,110.8821,2784.0,2712.0,72.0,3636.0,3882.0,246.0,1617.15,2740.19,4357.34,2026.53,2330.81,46210.72,38.799,-1077.96
2020-11-06,2020-11-23,24.86,22.66,40.28,3509.44,3577.59,1.9403,17,2654.29,21000.0,3292.0,3172.0,120.0,3876.65,820.29,3056.36,23360.48,76.9614,3165.0,3096.0,69.0,3966.0,4192.0,225.0,1560.01,2687.08,4247.09,1789.55,2457.55,43737.69,33.0519,-598.81
2021-03-10,2021-03-26,22.56,18.86,28.89,3898.81,3974.54,1.862,16,3129.69,21000.0,3680.0,3557.0,122.0,3734.91,563.22,3171.69,22774.99,87.0387,3550.0,3480.0,70.0,4357.0,4581.0,224.0,1502.71,2609.86,4112.57,1364.0,2748.58,41734.09,41.1621,-423.11
2022-03-22,2022-04-11,22.94,24.37,32.45,4511.61,4412.53,1.6041,20,-858.11,21000.0,4254.0,4110.0,144.0,3788.62,3786.96,1.67,23057.27,0.0362,4102.0,4019.0,83.0,5051.0,5315.0,264.0,1524.46,2643.9,4168.35,2090.0,2078.36,42402.19,24.5077,2076.69
2025-05-02,2025-05-13,22.68,18.22,33.82,5686.67,5886.55,1.2973,11,3455.94,21000.0,5365.0,5186.0,179.0,3816.46,393.59,3422.88,23257.92,133.7912,5176.0,5072.0,103.0,6359.0,6688.0,329.0,1535.6,2665.75,4201.35,2468.98,1732.38,42667.26,36.9109,-1690.5
