version,n_trades,win_rate_pct,avg_pnl,median_pnl,total_pnl,worst_trade,best_trade,avg_bp,dollar_per_bp_day
V3-A actual (production),39,92.3,1239.14,1386.73,48326.3,-2016.39,1903.03,21000.0,2531.63
IC_HV normal (raw 1:1),39,92.3,1688.12,2053.33,65836.76,-5289.16,2733.0,14331.08,5050.48
IC_HV normal (equal-BP),39,92.3,2465.16,3001.54,96141.32,-7955.68,3937.3,21000.0,5036.48
